span_m,chord_m,tail_arm_m,vstab_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,cn_r_control,izz_kgm2,yaw_rate_deg_s,yaw_rate_max_deg_s,yaw_rate_level_deg_s,yaw_correct_s,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,soc_start,cycle_wh,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,aft_boom_length_m,fuselage_length_m,packing_ok
6.0,0.392191473096842,2.0,2.2181761963607816,0.2967981018194693,0.40749972553166575,0.15418665146429117,0.0,0.05397609676688994,3.0,0.15981791764282277,0.9023828956314421,1.04,1.04,0.18500198538368898,0.5,0.029999999999999995,1.4956645256267058,1.4643354743732941,35.90270134261343,35.90270134261343,0.0,0.07270542998307807,-0.05375781804487976,-0.07207740431052057,15.231970074348698,41.775775136829274,41.775775136829274,17.276403770430658,0.5466286977745417,3.7730130752598976,-0.3773168901737135,3,one_per_bay,True,28+28+24,3,80,24,28,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.845573569321893,1.8657180940577658,19.295519572146777,0.2947672031914122,8.72457111978308,11.341942455718005,11.529953647480019,73.77530223581162,74.7267701899799,10.785470475948626,0.37624669944233585,0.9999999975176305,0.9999999975176308,-4.826139488045555e-13,255.38146749194465,0.0,21.551518398476816,1806.4091586477848,1660.3598001897099,13.75,True,ok,2.4409528665346207,0.0,1.0921914730968418,True
5.9989611709339625,0.392191473096842,2.0,2.2181524882678163,0.2967981018194693,0.40749972553166575,0.15418665146429117,0.0,0.11620250840842206,2.9994805854669813,0.15981791764282277,0.902302808843874,1.04,1.04,0.18498764181865984,0.5,0.03,1.495438399237435,1.4640421862295463,35.91023181415021,35.91023181415021,0.0,0.07270542998307808,-0.05376655251877156,-0.07209062130339448,15.226580472277647,41.77769700498521,41.77769700498521,17.276492180280037,0.5465941856997548,3.7731524214262975,-0.37709574179629346,3,one_per_bay,True,28+28+24,3,80,24,28,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.845068937002212,1.8654127623062808,19.291995775712728,0.29476311962438323,8.725061502806513,11.342579953648467,11.53060171297826,73.7783807164884,74.73012788828484,10.786523176145817,0.37621718058817105,0.9999999974815224,0.9999999974815237,-1.930455795218222e-12,255.33869467225983,0.0,21.474604049645077,1806.4091586477848,1660.4365457066426,13.75,True,ok,2.4408910168913356,0.0,1.0921914730968418,True
6.0,0.39409466934319703,1.9955693793346696,2.214624434998617,0.3010839786563628,0.4,0.15894513299296312,0.0,0.12833660183548976,3.0,0.15763786773727884,0.9141839298225485,1.04,1.04,0.18592871103358496,0.5,0.03,1.4970503745265873,1.4629496254734127,35.867831054470905,35.867831054470905,0.0,0.07270542998307808,-0.05367174059920191,-0.0719331560095925,15.255238487319817,41.81527926426389,41.81527926426389,17.301338435812603,0.5467398776545332,3.775488693963807,-0.3730810485166162,3,one_per_bay,True,28+28+24,3,80,24,28,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.854483611526042,1.871362619366797,19.23731917450672,0.294683409492655,8.715344303592033,11.329947594669644,11.517759952049493,73.81839585272178,74.76728809869086,10.765692182548456,0.3758338566504313,0.9999999961962662,0.9999999961962682,-2.8956836928273333e-12,254.7832582864749,0.0,20.542006155626527,1806.4091586477848,1661.367645986518,13.75,True,ok,2.4378702089480786,0.0,1.094094669343197,True
6.0,0.39102722003460344,2.0,2.218798442615383,0.31899979230717407,0.40749972553166575,0.17620792809573643,0.01485844641676795,0.22320645663276917,1.0735520124492677,0.15934348483951116,0.9569956616774264,1.04,1.04,0.1856448098739957,0.5,0.03,1.5124033934448375,1.4475966065551624,35.62037878298343,35.62037878298343,0.0,0.07270542998307808,-0.053772898272045136,-0.07208499474538066,15.269859090530563,41.71675235523753,41.71675235523753,17.255954493068003,0.5470188189554087,3.7759521884124556,-0.42990257408554056,3,one_per_bay,True,28+28+24,3,80,24,28,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.857285544386043,1.8728324440852688,19.22222146123871,0.2975133127896225,8.713162117080143,11.327110752204186,11.51487608429407,73.83439220849863,74.78268815074792,10.760225807705517,0.37568058837364443,0.9999999956748449,0.9999999956748474,-3.700040274168259e-12,254.56117255341076,0.0,20.163558880642565,1806.4091586477848,1661.745446412026,13.75,True,ok,2.4425454623265783,0.0,1.0910272200346034,True
6.0,0.392898397084516,2.0,2.218892892573755,0.3332035494169203,0.40749972553166575,0.16186151379991753,0.0,0.4973395652146413,3.0,0.1601059889737717,0.9214165542237955,1.04,1.04,0.18575375827890345,0.5,0.030000000000000002,1.508054943303795,1.4519450566962049,35.61892071770976,35.61892071770976,0.0,0.0727054299830781,-0.05377518728032358,-0.07208740380285576,15.274711203653307,41.710048983085386,41.710048983085386,17.252484683400056,0.5470787524516338,3.77626542560265,-0.39107557013027405,3,one_per_bay,True,28+28+24,3,80,24,28,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.858352027856435,1.8735119367057247,19.21524987094575,0.29560920805275936,8.712053162739881,11.325669111561846,11.513410546107167,73.8431478902555,74.79122927338159,10.757834704993897,0.37559668974485017,0.999999995387858,0.9999999953878611,-4.504396855509185e-12,254.43960344028787,0.0,19.95525476576194,1806.4091586477848,1661.9533835431741,13.75,True,ok,2.442277489387835,0.0,1.0928983970845159,True
6.0,0.39917735378055236,2.0,2.2193774642355564,0.3415242556112994,0.4,0.1270865210672358,0.01485844641676795,0.05397609676688994,0.6538607199818871,0.15967094151222094,0.8351745722467447,1.04,1.04,0.1863247592714318,0.5,0.03,1.4931562336906783,1.4668437663093217,35.72442202100007,35.72442202100007,0.0,0.07270542998307808,-0.053786930943999875,-0.072089181476145,15.296316659859604,41.68578869772997,41.68578869772997,17.24389402203033,0.5473297811488532,3.777732682681491,-0.3511023861428247,3,one_per_bay,True,28+28+24,3,80,24,28,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.863470388138934,1.8765745512948762,19.18389012318175,0.29370939526592216,8.707200587199239,11.319360763359011,11.506997626745706,73.86487477183972,74.81161470603193,10.746988174719835,0.3753885448891587,0.9999999946861087,0.9999999946861117,-4.343525539241e-12,254.1380015443909,0.0,19.446568231665175,1806.4091586477848,1662.4610788496313,13.75,True,ok,2.4417354976919645,0.0,1.0991773537805523,True
6.0,0.3932363961973358,2.0,2.219631708376708,0.3453132265581426,0.4,0.18150826725287866,0.0,0.8375471129579121,3.0,0.15729455847893434,0.970140502787139,1.04,1.04,0.18655913803847374,0.5,0.03,1.5164025087601467,1.4435974912398533,35.52015990203255,35.52015990203255,0.0,0.07270542998307808,-0.05379309258720091,-0.07209328022347135,15.313902542921058,41.65393814408694,41.65393814408694,17.232380497382824,0.5474857673778378,3.779268309710842,-0.4270682502915896,3,one_per_bay,True,28+28+24,3,80,24,28,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.870072243236493,1.880489597101462,19.14395062620366,0.2975405915511649,8.701042424308858,11.311355151601516,11.4988593089184,73.89183188806692,74.83669549620667,10.733127739456279,0.37513030581252255,0.999999993817623,0.9999999938176266,-5.308753436850111e-12,253.76381312234514,0.0,18.817492640229993,1806.4091586477848,1663.088817297038,13.75,True,ok,2.443746177658367,0.0,1.0932363961973357,True
6.0,0.392898397084516,2.0,2.220610414017699,0.33644288488414587,0.4,0.20309088521739452,0.0,0.37244993577141816,3.0,0.1571593588338064,1.0236653953391386,1.04,1.04,0.18757712672318433,0.5,0.029999999999999995,1.5378283401417132,1.4221716598582868,35.13810214468264,35.13810214468264,0.0,0.07270542998307807,-0.053816811658685945,-0.07208751332589944,15.421671592648085,41.60755927682188,41.60755927682188,17.22386298133125,0.5484316942040216,3.78387961728584,-0.48359423434646187,3,one_per_bay,True,29+29+24,3,82,24,29,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.904135548598306,1.8914911635427485,19.032602791848245,0.3005657791226787,8.69065915671073,11.297856903723948,11.485137305570367,74.11657249499287,75.06354661383683,10.683888696052664,0.37494363735847686,0.999999999999065,0.9999999999990655,-8.043565813409259e-13,253.49333053243294,0.0,58.403826917958526,1851.5693876139799,1668.5042245979655,13.75,True,ok,2.4458767124278453,0.0,1.0928983970845159,True
6.0,0.3937460718151107,1.993670541906671,2.2139402543288798,0.3251224735027362,0.4,0.18300575885098208,0.0,0.3294357495879118,3.0,0.15749842872604428,0.9738542819504356,1.04,1.04,0.1871795347812715,0.5,0.030000000000000002,1.5209092416156627,1.4390907583843373,35.403397539685905,35.403397539685905,0.0,0.0727054299830781,-0.05365515938260883,-0.07188376537861146,15.318379154424061,41.74831717207876,41.74831717207876,17.281924957650908,0.547335893161553,3.7806512607515272,-0.42431315302611305,3,one_per_bay,True,28+28+24,3,80,24,28,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.874680486336196,1.8838042804464503,19.110265526877463,0.29747300001035454,8.695413204750706,11.304037166175918,11.491420015950771,73.92969733475907,74.87329228016418,10.721939270454717,0.3747674896226233,0.9999999925784134,0.9999999925784181,-6.756595283263778e-12,253.23809246318115,0.0,17.91970329545611,1806.4091586477848,1663.984584224627,13.75,True,ok,2.438587885740025,0.0,1.0937460718151106,True
6.0,0.3933354910411603,2.0,2.2207519303226415,0.3200318936601567,0.40224991765949974,0.19959471020111239,0.0,0.0,3.0,0.1582191688838656,1.0149948812987588,1.04,1.04,0.18771810343336193,0.5,0.030000000000000002,1.5406999356856255,1.4193000643143745,35.031083640606674,35.031083640606674,0.0,0.0727054299830781,-0.05382024132661944,-0.07209103698173401,15.431489794909446,41.59165340372848,41.59165340372848,17.217850730028218,0.5485360477470645,3.7846130337777186,-0.4691714642021646,3,one_per_bay,True,29+29+24,3,82,24,29,0,A40-12L-V4-kv410-direct,MJ-20x13E,9.90702774644103,1.8933058432745216,19.014360584097215,0.29988831733258686,8.687761502478146,11.29408995322159,11.481307911720585,74.13744476894028,75.08375803866427,10.6775903989589,0.37474480502462687,0.9999999999989307,0.9999999999989305,3.2174263253637037e-13,253.2052224806843,0.0,57.908613037654874,1851.5693876139799,1668.9983854692484,13.75,True,ok,2.4460618258485427,0.0,1.0933354910411603,True
