span_m,chord_m,tail_arm_m,vstab_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,cn_r_control,izz_kgm2,yaw_rate_deg_s,yaw_rate_max_deg_s,yaw_rate_level_deg_s,yaw_correct_s,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,rudder_span_m,rudder_installed_fraction,rudder_required_fraction,rudder_installed_chord_m,rudder_required_chord_m,rudder_installed_area_m2,rudder_required_area_m2,rudder_available_moment_nm,rudder_required_moment_nm,rudder_sideslip_margin,rudder_rate_margin,rudder_sizing_ok,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,morning_soc,next_morning_soc,morning_soc_change,morning_charge_hour,objective_soc,soc_end,soc_start,cycle_wh,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,aft_boom_length_m,fuselage_length_m,packing_ok,optimizer_score
6.0,0.3787495125275352,2.0,2.25380452765092,0.3327264011831278,1.0,1.0,0.0,0.0,3.0,0.3787495125275352,3.0,1.0493693278838931,1.0493693278838931,0.21867113301321195,0.5,0.03,1.3399999999999994,1.6200000000000006,35.82173061710579,35.82173061710579,0.0,0.07270542998307808,-0.05462127576022278,-0.07268584594865588,16.611800177174796,38.879422475144096,38.879422475144096,16.250002573545732,0.5542535077751037,4.019279577121518,-0.3675808160030678,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x11EWL,10.562647334447263,2.2724970751652114,15.841604547448224,0.30245197932374596,0.5217655788131137,0.3,0.10163153535210907,0.10435311576262274,0.03535189124577241,0.054447863846836704,0.01844539999798869,11.25636525401494,6.551666657644249,0.7180918752759524,6.775884495028819,True,8.188231009674348,10.644700312576653,10.821153578807788,83.45488612566179,84.67768580337744,9.426769219812298,0.2956692826401368,0.29566928264193204,0.2956692826401368,-1.7952306308188781e-12,7.75,0.2956692826401368,0.2956692826401368,0.29566928264193204,-2.6012891840565544e-09,138.62479054555823,0.0,55.94648369428229,2077.3705324449547,1895.4509637124736,13.75,True,ok,2.514687317057476,0.0,1.0787495125275353,True,-29.566928264013683
6.0,0.3737495125275352,2.0,2.25380452765092,0.3327264011831278,1.0,1.0,0.0,0.0,3.0,0.3737495125275352,3.0,1.0493693278838931,1.0493693278838931,0.21578438166726385,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,36.05016371568443,36.05016371568443,0.0,0.07270542998307807,-0.05462127576022278,-0.0727051035819393,16.467961197715027,39.116990509908426,39.116990509908426,16.34779141971,0.5519048159811277,4.005876090227606,-0.3915606831837273,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x13E,10.556566493495964,2.242497075165211,16.053532643893316,0.303028902400669,0.5183101351535309,0.3,0.10164497055197022,0.10366202703070618,0.0351224122829789,0.05372907924057429,0.01820430225730883,11.249885044590906,6.548327695538145,0.7179783247952414,6.823398101981685,True,8.240446883927069,10.71258094910519,10.890159447581256,83.57946887071242,84.58273851018548,9.523171655365395,0.2944817848852523,0.2944817848873597,0.2944817848852523,-2.107425345343472e-12,7.75,0.2944817848852523,0.2944817848852523,0.2944817848873597,-3.053659325402691e-09,136.90410629873054,0.0,55.190815467202185,2077.3705324449547,1896.1907667016926,13.75,True,ok,2.5129595952276853,0.0,1.0737495125275351,True,-29.44817848852523
6.0,0.38163793460474027,2.0,2.268578549743357,0.33825790937206135,1.0,1.0,0.0,0.0,3.0,0.38163793460474027,3.0,1.04,1.04,0.2203387642770196,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,35.738825429975385,35.738825429975385,0.0,0.07270542998307807,-0.05497932630315947,-0.07317329471997858,16.735441350252618,38.531042179909065,38.531042179909065,16.09173340461127,0.5558354866176093,4.027104011552435,-0.35360834724161205,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x11EWL,10.59399240211895,2.2898276076284416,15.721707555655225,0.3021186998532992,0.5220431060919833,0.3,0.10174631576095537,0.10440862121839667,0.03541064180884324,0.054505800923633156,0.018485881438599173,11.289768956652406,6.574818569329776,0.7171225087969633,6.706208435981814,True,8.169280310966348,10.620064404256253,10.796109290132653,83.74867823988461,84.97350164761855,9.378789083051547,0.29286889811496486,0.29286889812125944,0.29286889811496486,-6.294575971566019e-12,7.75,0.29286889811496486,0.29286889811496486,0.29286889812125944,-9.120840582799161e-09,134.56703336858408,0.0,48.8555880215539,2077.3705324449547,1902.5227176865103,13.75,True,ok,2.529600102789349,0.0,1.0816379346047402,True,-29.286889811496486
6.0,0.3787495125275352,2.0,2.25380452765092,0.3327264011831278,1.0,1.0,0.0,0.0,3.0,0.3787495125275352,3.0,1.0493693278838931,1.0493693278838931,0.21867113301321195,0.5,0.03,1.3399999999999994,1.6200000000000006,35.91203036836878,35.91203036836878,0.0,0.07270542998307808,-0.05462127576022278,-0.07262775717290507,16.645473225878156,39.00860482098585,39.00860482098585,16.321691020411606,0.5533279727316103,4.019440359586682,-0.3673445777748847,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x11EW,10.615967293592544,2.2724970751652114,15.841604547448224,0.30245197932374596,0.5217655788131137,0.3,0.10147317781702461,0.10435311576262274,0.0352968075718039,0.054447863846836704,0.018416659232957357,11.313187082526726,6.579607277135305,0.7194319669869984,6.8017209641971705,True,8.208871978458374,10.671533571995887,10.848431643259492,83.82598746572495,85.00778627505126,9.488315473605386,0.292131987874547,0.292131987882418,0.292131987874547,-7.87103715538251e-12,7.75,0.292131987874547,0.292131987874547,0.292131987882418,-1.1405132838149257e-08,133.49925043021855,0.0,47.43444479230468,2077.3705324449547,1903.9371369729963,13.75,True,ok,2.514687317057476,0.0,1.0787495125275353,True,-29.213198787454697
6.0,0.38298128551138466,2.0,2.262387546134201,0.3380536722474482,1.0,1.0,0.0,0.0,3.0,0.38298128551138466,3.0,1.04,1.04,0.22111434828458687,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,35.69622652084929,35.69622652084929,0.0,0.07270542998307807,-0.05482928644334933,-0.0729354271241664,16.77107851406927,38.610628327192195,38.610628327192195,16.138224132591873,0.5559815563165539,4.03073441287646,-0.34712264479362487,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x11EWL,10.605954029001262,2.2978877130683077,15.66656185820767,0.3019636978256094,0.523676135209347,0.3,0.10162641174117304,0.10473522704186936,0.035479551023874185,0.054847338917559635,0.018579794159145267,11.302516181562627,6.578362566278309,0.7181351845064075,6.72212566543844,True,8.15954293360697,10.607405813689061,10.783240862784165,83.87258327116005,85.09772167426152,9.358043541181248,0.29168783550343447,0.2916878355129545,0.29168783550343447,-9.520051413858255e-12,7.75,0.29168783550343447,0.29168783550343447,0.2916878355129545,-1.3794554498680611e-08,132.85567364447652,0.0,45.86965883097582,2077.3705324449547,1905.4996671396411,13.75,True,ok,2.5242256137388743,0.0,1.0829812855113845,True,-29.16878355034345
6.0,0.37663793460474027,2.0,2.268578549743357,0.33825790937206135,1.0,1.0,0.0,0.0,3.0,0.37663793460474027,3.0,1.04,1.04,0.21745201293107144,0.5,0.030000000000000002,1.3399999999999994,1.6200000000000006,35.964903345388805,35.964903345388805,0.0,0.0727054299830781,-0.05497932630315948,-0.07319237216200551,16.59137088572729,38.764676630079975,38.764676630079975,16.18780468425659,0.5534944972415856,4.013703747240447,-0.37758347947158,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x13E,10.587890095362273,2.2598276076284414,15.93041870914212,0.3026956229302223,0.5186120774326078,0.3,0.10175985117623956,0.10372241548652159,0.035182591878495074,0.053791697371793054,0.018246117063569926,11.283265871623605,6.571468431047244,0.7170083049193736,6.752935326015996,True,8.220957830887917,10.687245180154292,10.864403696944391,83.89847695267014,84.90180592792089,9.473868549113579,0.29144101569515873,0.29144101570310854,0.29144101569515873,-7.949807478979665e-12,7.75,0.29144101569515873,0.29144101569515873,0.29144101570310854,-1.1519271037041534e-08,132.49803174228498,0.0,47.51287927821432,2077.3705324449547,1903.8475688603985,13.75,True,ok,2.527884588459661,0.0,1.07663793460474,True,-29.144101569515872
6.0,0.3787495125275352,2.0,2.25380452765092,0.3327264011831278,1.0,1.0,0.0,0.0,3.0,0.3787495125275352,3.0,1.0493693278838931,1.0493693278838931,0.21867113301321195,0.5,0.03,1.3399999999999994,1.6200000000000006,35.89457078183329,35.89457078183329,0.0,0.07270542998307808,-0.05462127576022278,-0.07263900479340447,16.638955882420166,38.983602491049325,38.983602491049325,16.30780454136189,0.5535065123823661,4.019409303617008,-0.3673902084177678,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x13E,10.605647334447264,2.2724970751652114,15.841604547448224,0.30245197932374596,0.5217655788131137,0.3,0.1015038399039818,0.10435311576262274,0.035307473186169794,0.054447863846836704,0.018422224183410375,11.302189344377604,6.574204167535835,0.7191722460018957,6.796720498209865,True,8.204881017513072,10.666345322766995,10.843157390339035,84.1094293673886,85.11141904686596,9.440882585275817,0.289430189529301,0.28943018955087235,0.289430189529301,-2.1571355812710635e-11,7.75,0.289430189529301,0.289430189529301,0.28943018955087235,-3.125689457261771e-08,129.58434462795714,0.0,42.45050747869996,2077.3705324449547,1908.8966990319623,13.75,True,ok,2.514687317057476,0.0,1.0787495125275353,True,-28.9430189529301
6.0,0.3787495125275352,2.0,2.25380452765092,0.3327264011831278,1.0,1.0,0.0,0.0,3.0,0.3787495125275352,3.0,1.0443693278838933,1.0443693278838933,0.21867113301321195,0.5,0.03,1.3399999999999994,1.6200000000000006,35.89457078183329,35.89457078183329,0.0,0.07270542998307808,-0.05462127576022278,-0.07263900479340447,16.638955882420166,38.983602491049325,38.983602491049325,16.30780454136189,0.5535065123823661,4.019409303617008,-0.3673902084177678,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x13E,10.605647334447264,2.2724970751652114,15.841604547448224,0.30245197932374596,0.5217655788131137,0.3,0.1015038399039818,0.10435311576262274,0.035307473186169794,0.054447863846836704,0.018422224183410375,11.302189344377604,6.574204167535835,0.7191722460018957,6.796720498209865,True,8.204881017513072,10.666345322766995,10.843157390339035,84.1094293673886,85.11141904686596,9.440882585275817,0.289430189529301,0.28943018955087235,0.289430189529301,-2.1571355812710635e-11,7.75,0.289430189529301,0.289430189529301,0.28943018955087235,-3.125689457261771e-08,129.58434462795714,0.0,42.45050747869996,2077.3705324449547,1908.8966990319623,13.75,True,ok,2.514687317057476,0.0,1.0787495125275353,True,-28.9430189529301
6.0,0.3787495125275352,2.0,2.25380452765092,0.3327264011831278,1.0,1.0,0.0,0.0,3.0,0.3787495125275352,3.0,1.054369327883893,1.054369327883893,0.21867113301321195,0.5,0.03,1.3399999999999994,1.6200000000000006,35.89457078183329,35.89457078183329,0.0,0.07270542998307808,-0.05462127576022278,-0.07263900479340447,16.638955882420166,38.983602491049325,38.983602491049325,16.30780454136189,0.5535065123823661,4.019409303617008,-0.3673902084177678,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x13E,10.605647334447264,2.2724970751652114,15.841604547448224,0.30245197932374596,0.5217655788131137,0.3,0.1015038399039818,0.10435311576262274,0.035307473186169794,0.054447863846836704,0.018422224183410375,11.302189344377604,6.574204167535835,0.7191722460018957,6.796720498209865,True,8.204881017513072,10.666345322766995,10.843157390339035,84.1094293673886,85.11141904686596,9.440882585275817,0.289430189529301,0.28943018955087235,0.289430189529301,-2.1571355812710635e-11,7.75,0.289430189529301,0.289430189529301,0.28943018955087235,-3.125689457261771e-08,129.58434462795714,0.0,42.45050747869996,2077.3705324449547,1908.8966990319623,13.75,True,ok,2.514687317057476,0.0,1.0787495125275353,True,-28.9430189529301
6.0,0.38163793460474027,2.0,2.268578549743357,0.33825790937206135,1.0,1.0,0.0,0.0,3.0,0.38163793460474027,3.0,1.04,1.04,0.2203387642770196,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,35.82864997037502,35.82864997037502,0.0,0.07270542998307807,-0.05497932630315947,-0.0731153264498936,16.769175621877906,38.65851004226621,38.65851004226621,16.16236446210108,0.5549082680491159,4.027264319493222,-0.3533728062337256,3,one_per_bay,True,38+38+16,3,92,16,38,0,A40-12L-V4-kv410-direct,MJ-20x11EW,10.64731236126423,2.2898276076284416,15.721707555655225,0.3021186998532992,0.5220431060919833,0.3,0.10158913420509236,0.10440862121839667,0.03535593811041451,0.054505800923633156,0.01845732374995672,11.346590785164192,6.602803829287221,0.7184503854007529,6.731702008453242,True,8.189812654726945,10.646756451145029,10.823243801225924,84.12329433033824,85.30701821374531,9.440200711832926,0.28929802577146047,0.28929802580029973,0.28929802577146047,-2.883926430996553e-11,7.75,0.28929802577146047,0.28929802577146047,0.28929802580029973,-4.178809398514005e-08,129.3928393428462,0.0,40.26007629653719,2077.3705324449547,1911.0922337330433,13.75,True,ok,2.529600102789349,0.0,1.0816379346047402,True,-28.929802577146045
