span_m,chord_m,tail_arm_m,vstab_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,cn_r_control,izz_kgm2,yaw_rate_deg_s,yaw_rate_max_deg_s,yaw_rate_level_deg_s,yaw_correct_s,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,aft_boom_length_m,fuselage_length_m,packing_ok
5.9740344526820035,0.35585235549347993,1.3278640387957101,1.3278640387957101,0.3045150595531173,0.7238628535452283,0.05845374073842213,0.3328436711778133,0.4809570265589852,1.8080375526180106,0.25758830148830136,0.8483428615189372,1.4311363342202452,1.4311363342202452,0.26680024938617236,0.8168488425333652,0.029999999999999995,1.3239498673368435,1.6230673590041582,43.09401403897655,40.65119184094706,2.4428221980294955,0.07270542998307807,-0.03232084671234746,-0.04511527974015941,19.259265008640124,16.677077609835944,244.97503802465877,0.0,1.206931691233845,3.2993237180451036,0.2385199885765292,2,one_per_bay,True,16+16+16+8,4,56,16,16,8,A40-12L-V4-kv410-direct,16x12E,10.357871148296098,1.9157194185017268,18.629600607036597,0.5234272697196122,9.128025733544867,11.866433453608327,12.06313893895954,92.26519842105249,94.23375644993892,12.788923681845192,0.009999754957234661,0.9999999999999999,-183.54023671131134,180.6577512489725,138.90304093213584,2202.1627294074883,2114.214388896535,13.916666666666668,False,"SOC floor violated (min 0.010, unmet 181 Wh); FLAG 16x12E: shaft power table 35.4 W vs similarity 29.5 W (17%) at 2526 rpm, 11.87 m/s; FLAG 16x12E: shaft power table 36.0 W vs similarity 30.3 W (16%) at 2573 rpm, 12.06 m/s",1.5400846139554873,0.0,1.0558523554934798,True
5.994565104621529,0.3682738665531925,1.9212581875182249,1.9212581875182249,0.3181822962670472,0.42019478655951764,0.34581787923991747,3.1229078182077545,0.7021276765085607,2.3152996212561137,0.154746758751767,1.4995232609131186,1.4155365929360495,1.4155365929360495,0.27214833897629626,1.1880496382065877,0.03,1.739933027199176,1.2173495251115884,37.11938434437977,34.06772352285235,3.051660821527424,0.07270542998307808,-0.046604182353222084,-0.06524080251271519,20.935741275987098,11.136908954940182,165.9280717428807,0.0,1.3306811624072503,3.3018505951009187,0.5593085949629224,2,one_per_bay,True,16+16+16+8,4,56,16,16,8,A40-12L-V4-kv410-direct,16x12E,10.560190247182753,1.8878294597089613,19.034987831520564,0.7619910086251114,9.270391636712212,12.051509127725875,12.251282544182615,92.27457466049283,96.28767319488286,12.719125410420395,0.009890307246309427,0.9999999999999977,-183.6459632000651,180.759686091176,118.2463287956516,2202.1627294074883,2135.0552020736045,13.916666666666668,False,"SOC floor violated (min 0.010, unmet 181 Wh); FLAG 16x12E: shaft power table 35.4 W vs similarity 29.4 W (17%) at 2540 rpm, 12.05 m/s; FLAG 16x12E: (12.25 m/s, 2624 rpm) not on the map; used C_T(J) similarity",2.0937139403823153,0.0,1.0682738665531923,True
5.956238794379782,0.3544160082121679,1.2967238013332156,1.2967238013332156,0.334377847405416,0.7072084722816349,0.11952331324052023,0.31665158380574976,0.35598268448608433,1.5153038684044158,0.2506460037198826,0.978212035851993,1.4134555693102155,1.4134555693102155,0.2787701022753872,0.8302409317435151,0.030000000000000002,1.3716795442386576,1.5664398529512336,42.773094759527375,40.13704741724114,2.6360473422862345,0.0727054299830781,-0.031657179908294836,-0.044044499211478565,18.976233507757392,16.987508708942425,250.05965440409622,0.0,1.2048123460993747,3.2810183884767006,0.2429170130626305,2,one_per_bay,True,16+16+16+8,4,56,16,16,8,A40-12L-V4-kv410-direct,16x12E,10.334090145712956,1.9034559815923497,18.638088255656097,0.52313276941834,9.155687693932968,11.902394002112858,12.099695592197204,92.31556996277915,94.29641856868828,12.852874367820398,0.00941176309757147,0.9999999999999999,-184.10823684774599,180.79627298872083,137.70170295390128,2202.1627294074883,2115.5472358829443,13.916666666666668,False,"SOC floor violated (min 0.009, unmet 181 Wh); FLAG 16x12E: shaft power table 35.4 W vs similarity 29.5 W (17%) at 2529 rpm, 11.90 m/s; FLAG 16x12E: shaft power table 36.0 W vs similarity 30.3 W (16%) at 2576 rpm, 12.10 m/s",1.5107151232118876,0.0,1.0544160082121679,True
5.971366163076976,0.38318141020966556,1.153584430179845,1.153584430179845,0.2716016625995112,0.616645196463714,0.022505106983485235,2.1348338134257707,0.7099412119083326,2.3177279973133347,0.2362869759799822,0.7346818693698713,1.3657130220726148,1.3657130220726148,0.25474461709751706,0.6120434416482247,0.03,1.4883347533522095,1.4573483281862782,38.605580219192774,36.59039163169937,2.015188587493402,0.07270542998307808,-0.02809134450224086,-0.038901551108518,18.21701396870005,18.31576383467121,272.77088072293964,0.0,1.1972387331844925,3.357828779708697,0.05257411982834487,2,one_per_bay,True,17+17+16,3,50,16,17,0,A40-12L-V4-kv410-direct,16x12E,10.160819287850558,1.9574569577342749,18.21609088907543,0.3782132454177992,8.914935792354715,11.58941653006113,11.78153000816687,89.5596237376248,91.35026975186678,12.779258138018816,0.009319557166510024,0.9477260759560209,-184.1973077771513,159.15290116812866,0.35588630810259164,1966.2167226852573,2047.1882093442223,14.083333333333334,False,"SOC floor violated (min 0.009, unmet 159 Wh); did not refill (end SOC 0.948); FLAG 16x12E: shaft power table 34.2 W vs similarity 28.6 W (16%) at 2485 rpm, 11.59 m/s; FLAG 16x12E: shaft power table 34.9 W vs similarity 29.3 W (16%) at 2530 rpm, 11.78 m/s",1.3802749217718662,0.0,1.0831814102096655,True
5.925729531113578,0.3637040706494848,1.5532044036065116,1.5532044036065116,0.28705619808257965,0.574845189195677,0.18901109686957462,2.303524014217585,0.575988145893585,1.9965036782760888,0.20907353530374095,1.1145482371113093,1.3675499523031671,1.3675499523031671,0.26026673498880953,0.913125482193792,0.03,1.4696044012830969,1.4532603642736919,41.64971071163261,39.238824638259786,2.410886073372819,0.07270542998307808,-0.038113921137605616,-0.053404645981866,19.0249456657028,13.562872670622713,202.11313353084464,0.0,1.2624165955107343,3.203951790969033,0.39624125062810145,2,one_per_bay,True,16+16+16+8,4,56,16,16,8,A40-12L-V4-kv410-direct,16x12E,10.332530479970089,1.8694057777519597,18.78365355120382,0.5762205913903494,9.281256885640785,12.065633951333021,12.265641509774714,92.3449484454476,96.36137153842745,13.012597542642695,0.009068820744896792,0.9999999999999967,-184.4395191604297,180.9593555284304,116.71466571896772,2202.1627294074883,2136.7776955449544,13.916666666666668,False,"SOC floor violated (min 0.009, unmet 181 Wh); FLAG 16x12E: shaft power table 35.4 W vs similarity 29.4 W (17%) at 2542 rpm, 12.07 m/s; FLAG 16x12E: (12.27 m/s, 2626 rpm) not on the map; used C_T(J) similarity",1.743538015270156,0.0,1.0637040706494847,True
5.918913659266709,0.3649985294203857,1.3113643765741743,1.3113643765741743,0.2993808133424777,0.6703446839320436,0.24923517605786416,0.9011242197198446,0.5465991131686948,1.9284294456153128,0.24467482383996916,1.2522279403131034,1.3709411520949204,1.3709411520949204,0.26484509572281967,0.7268607262483758,0.030000000000000002,1.6920546951312256,1.2274021345021286,36.02836201355227,33.75828737122054,2.27007464233173,0.0727054299830781,-0.03221648983307809,-0.04468898253324953,19.160717714357204,16.218857073966035,236.2541331017949,0.0,1.226519408064574,3.2490694248652523,0.116797384653819,2,one_per_bay,True,19+19+16+8,4,62,16,19,8,A40-12L-V4-kv410-direct,16x12E,10.484934927423181,1.954974675161631,17.92020088595652,0.4585120867133871,9.136281856652037,11.877166413647648,12.074049815313991,93.00674902892858,95.00708157699981,12.639933250114069,0.00896792560445972,0.9999999999999997,-184.53698386609193,175.60054866841986,350.00889723768336,2438.1087361297186,2132.998774070026,13.583333333333332,False,"SOC floor violated (min 0.009, unmet 176 Wh); FLAG 16x12E: shaft power table 35.7 W vs similarity 29.8 W (17%) at 2532 rpm, 11.88 m/s; FLAG 16x12E: shaft power table 36.2 W vs similarity 30.6 W (16%) at 2579 rpm, 12.07 m/s",1.5266711143201497,0.0,1.0649985294203856,True
5.553694611702861,0.35615789670571535,1.2563497228288578,1.2563497228288578,0.3522476839207772,0.4826400298240958,0.21143664407409368,4.030864176977607,0.9978069064275323,2.7722326945160862,0.1718960578881337,1.117586868186565,1.3453823050357223,1.3453823050357223,0.286460659343843,0.9235931510323223,0.03,1.3171166331213877,1.4197306727300427,47.91150544789062,44.17751932027644,3.733986127614178,0.07270542998307808,-0.032894659571274326,-0.046123040162345405,15.235832306940015,19.063376776249513,291.53026062890297,0.0,1.1238365159626522,3.552108902996512,0.8009154595582668,2,one_per_bay,True,16+12+12+8,4,48,16,12,8,A40-12L-V4-kv410-direct,16x12E,9.751372383985906,1.6722538125285622,18.444283761817157,0.5316681297672361,9.32258835070977,12.119364855922703,12.320263091728153,90.63389339817415,94.62813185452728,13.85372275364691,0.0084482214203693,0.8408110595737551,-185.03901810792325,180.1672047186692,0.11619325044490716,1887.568053777847,2093.824413300927,14.333333333333332,False,"SOC floor violated (min 0.008, unmet 180 Wh); did not refill (end SOC 0.841); FLAG 16x12E: shaft power table 34.7 W vs similarity 28.6 W (18%) at 2534 rpm, 12.12 m/s; FLAG 16x12E: (12.32 m/s, 2620 rpm) not on the map; used C_T(J) similarity",1.4495998820162859,0.0,1.0561578967057152,True
5.978993915165466,0.39633136393419827,1.195678250594377,1.195678250594377,0.28331099278983257,0.49391290627535755,0.10352823417149837,0.7647688753823298,0.4912108216280416,1.8317853423892694,0.1957531758088163,0.9496426915906406,1.4281439191103218,1.4281439191103218,0.25890665782340067,0.6602935214959786,0.03,1.5835446119090801,1.3659523456736529,37.307180601952346,34.831271765013014,2.4759088369393334,0.07270542998307808,-0.029079240609487366,-0.04024098304818678,19.238736924249594,18.59569173658825,274.28475534117666,0.0,1.1958255587931457,3.4956909274480554,0.25584415026832424,2,one_per_bay,True,16+16+16+8,4,56,16,16,8,A40-12L-V4-kv410-direct,16x12E,10.384674773564823,1.9605125406392765,18.23419513854728,0.40869182259468995,8.924402060286498,11.601722678372449,11.79404015095436,90.37403078897715,92.20103412804687,12.510964303819993,0.008384205956491891,0.9999999999999997,-185.10085704602884,152.863532563521,157.7412734259858,2202.1627294074883,2067.55127288265,13.833333333333332,False,"SOC floor violated (min 0.008, unmet 153 Wh); FLAG 16x12E: shaft power table 34.5 W vs similarity 28.9 W (16%) at 2492 rpm, 11.60 m/s; FLAG 16x12E: shaft power table 35.2 W vs similarity 29.6 W (16%) at 2537 rpm, 11.79 m/s",1.416806400218368,0.0,1.0963313639341983,True
5.679603196978099,0.3929486791896251,1.4052737413380425,1.4052737413380425,0.2974330917771901,0.5977706953731595,0.09057854470674487,0.42288684889236183,0.48220733475522276,1.726069966785912,0.23489320520514678,0.883706989016759,1.3777592101512837,1.3777592101512837,0.26411086742603745,0.7671282620362756,0.030000000000000002,1.6132558663300784,1.186545732158971,37.09258651126205,34.50558656404891,2.5869999472131346,0.0727054299830781,-0.035978228782698254,-0.05029255626101766,17.917161993019775,16.202765545056828,235.2906421652974,0.0,1.185377957653709,3.49189213848808,0.37852009276429266,2,one_per_bay,True,17+17+16+8,4,58,16,17,8,A40-12L-V4-kv410-direct,16x12E,10.393177956986984,1.9226211139150906,16.778080840606254,0.47751365466482787,9.057221686017815,11.77438819182316,11.969567876860022,92.63286791561363,94.57170583225381,12.654690452475732,0.008367283962768413,0.9999999999999999,-185.11720369196573,179.22071417079795,206.8873889450069,2280.8113983148974,2123.0619186202885,13.75,False,"SOC floor violated (min 0.008, unmet 179 Wh); FLAG 16x12E: shaft power table 35.5 W vs similarity 29.7 W (16%) at 2521 rpm, 11.77 m/s; FLAG 16x12E: shaft power table 36.1 W vs similarity 30.5 W (16%) at 2568 rpm, 11.97 m/s",1.6027801273345283,0.0,1.092948679189625,True
5.912050958861498,0.34524537048433773,1.5023181681028046,1.5023181681028046,0.2985988076888644,0.6543725665421191,0.37374383605763084,3.3893685428365474,0.9827131721615975,2.9169792439317894,0.22591909917062084,1.5414833848049947,1.3945957190726672,1.3945957190726672,0.26454981484155315,0.9213778417812547,0.03,1.6747905747877385,1.2412349046430102,37.79166344557931,35.26943796447841,2.5222254811008966,0.07270542998307808,-0.03695052331021812,-0.05172211949645357,19.13379528463594,14.428522679860711,214.59223087681607,0.0,1.2441645160999346,3.3004972615998898,0.28981070878419724,2,one_per_bay,True,18+18+16+8,4,60,16,18,8,A40-12L-V4-kv410-direct,16x12E,10.382762486758248,1.872316189846436,18.667972177841328,0.5963969563585659,9.238505391765575,12.010057009295247,12.209143289292106,92.15824057045073,94.1481820294734,12.897274972553149,0.00830240152548319,0.9999999999999999,-185.17988012638324,167.83273565758256,284.53324587398254,2359.4600672223096,2112.3605021007193,13.666666666666666,False,"SOC floor violated (min 0.008, unmet 168 Wh); FLAG 16x12E: shaft power table 35.4 W vs similarity 29.3 W (17%) at 2536 rpm, 12.01 m/s; FLAG 16x12E: shaft power table 35.8 W vs similarity 30.2 W (16%) at 2584 rpm, 12.21 m/s",1.699911797141212,0.0,1.0452453704843376,True
