airfoil,re,alpha_deg,cl,cd,cm,confidence
ag35,50000.0,-6.0,-0.3211611156584603,0.03878869856381497,-0.0384093057279627,0.9209430856719983
ag35,50000.0,-5.75,-0.30044761617063226,0.03531001464691055,-0.038269223839030315,0.9559488939320951
ag35,50000.0,-5.5,-0.2806727794927369,0.03240690890861033,-0.037718312352899123,0.9709270959222563
ag35,50000.0,-5.25,-0.26021672604380763,0.02995312349633264,-0.037005684845979527,0.9777142129946792
ag35,50000.0,-5.0,-0.23769908610999185,0.027834788227691136,-0.036237051195970656,0.9805187339310666
ag35,50000.0,-4.75,-0.21285625109712683,0.02597448142825183,-0.03553500882196658,0.9807185372059707
ag35,50000.0,-4.5,-0.18666636670218845,0.02435742924063238,-0.03498803822950813,0.9788147590616855
ag35,50000.0,-4.25,-0.16084967129542632,0.02301613480490251,-0.034625062326598885,0.9754395226806784
ag35,50000.0,-4.0,-0.13694250998534746,0.021797269025259688,-0.03420751156223921,0.9715856275821474
ag35,50000.0,-3.75,-0.11397225467881227,0.02003795093781245,-0.03309091456565446,0.9672733284854182
ag35,50000.0,-3.5,-0.08699750148079162,0.017783624346420116,-0.03187297689463384,0.9617076228832193
ag35,50000.0,-3.25,-0.05784902441726876,0.016965903663858018,-0.03139993612811146,0.9630525628254782
ag35,50000.0,-3.0,-0.03357785667470152,0.017219347147518924,-0.031105741406400267,0.9673052237246013
ag35,50000.0,-2.75,-0.01609796540137725,0.0176487706092207,-0.030037707682535993,0.9711361696451078
ag35,50000.0,-2.5,-4.581124178140893e-05,0.018044789790027643,-0.02881707228143323,0.9742717861504464
ag35,50000.0,-2.25,0.017009917701628643,0.018451920162139274,-0.02788337945977857,0.9766714848724427
ag35,50000.0,-2.0,0.03544166741366864,0.018898128772974473,-0.02731841543614411,0.9784435846640396
ag35,50000.0,-1.75,0.05562573622297181,0.019386047030338496,-0.027194924213163177,0.9797555267932325
ag35,50000.0,-1.5,0.07855820341883321,0.019913861770793802,-0.027697735874490367,0.9807642759769444
ag35,50000.0,-1.25,0.10584905495897429,0.02048076372249792,-0.02912068889868893,0.9815979798022115
ag35,50000.0,-1.0,0.139365007718978,0.021085857245993,-0.03178932479231736,0.9823556123095131
ag35,50000.0,-0.75,0.18054337156683709,0.021725166409360154,-0.03591766138613255,0.9831051038450412
