span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.4,1.6,0.34,0.6,0.0,0.24,0.4894789889065679,0.9789579778131358,0.0,0.21754621727942303,0.5,5.220511353822739,-0.2805576510416572,2,mixed,False,26+26+21+10+10,5,93,21,36,0,19x10E,11.691445844753895,1.998316638225051,18.015163018397324,0.307724680039524,9.163268413270304,10.995922095924364,11.17819743595968,92.8447316515885,95.53755410845595,2.672632598803113,0.008403662936335914,0.9801557346060105,-197.85537611191836,197.85537611191836,0.4997639798534147,2046.998139145637,2134.752980463993,14.166666666666668,False,"SOC floor violated (min 0.008, unmet 198 Wh)"
6.0,0.45,1.6,0.34,0.4,0.0,0.18000000000000002,0.5067021963549303,1.0134043927098606,0.0,0.22520097610619072,0.5,5.235317308087842,-0.2517283904971741,2,mixed,False,26+26+21+10+10,5,93,21,36,7,19x10E,11.7709596333733,2.026809593015831,17.76190527420639,0.3071767386174873,9.129519253632937,10.955423104359523,11.137027107567048,92.9738915692198,95.64280159777876,2.6516471409536586,0.006895868701726661,0.9775985154454849,-198.24285586481227,198.24285586481227,0.48222273163294693,2046.998139145637,2137.6176796087693,14.166666666666668,False,"SOC floor violated (min 0.007, unmet 198 Wh)"
6.0,0.36,1.3,0.34,0.6,0.5,0.216,1.7686004107020508,1.0744016428082028,0.0,0.23875592055156475,0.5,5.212804751458877,-0.29561001109691976,2,mixed,False,26+26+16+8+8+8,6,92,16,34,8,19x10E,11.589549268056201,1.982678459141095,18.157255824323304,0.3080254142760585,9.159158575744506,10.990990290893407,11.173183878217934,93.10991096818694,95.82453632853041,2.6946461554509553,0.004327311510256221,0.9526301761314759,-199.53858668372501,199.53858668372501,0.3275715146241206,2024.9874064666515,2141.3316792798755,14.166666666666668,False,"SOC floor violated (min 0.004, unmet 200 Wh)"
6.0,0.4,1.3,0.34,0.6,0.0,0.24,0.5454984328043848,1.0909968656087696,0.0,0.24244374788632467,0.5,5.2248069969665085,-0.2721532975284,2,mixed,False,26+26+24+9+9+8,6,102,24,35,8,19x10E,11.73142723598382,2.007279749248702,17.93471986825669,0.30755231252488346,9.158406654429783,10.99008798531574,11.172266615453905,94.50985114393939,97.27329210709962,2.656146958263447,0.004751912701273123,0.9999999999999998,-203.6633769821032,203.6633769821032,142.48904723246042,2245.0947332565047,2176.3314105799936,13.833333333333332,False,"SOC floor violated (min 0.005, unmet 204 Wh)"
6.0,0.3,1.3,0.34,1.0,1.0,0.3,3.0,0.9667550799532344,0.0,0.21483446221182986,0.5,5.201072181335043,-0.46754576428112116,2,mixed,False,26+26+14+12+12,5,90,14,38,0,19x10E,11.066233828027828,1.7999999999999998,20.000000000000004,0.3115384615384616,9.39316860733619,11.271802328803426,11.458650833582762,93.46547216917524,96.43449009317973,2.833678435008404,0.0064621423751682686,0.9077191020388092,-210.35307442425244,210.35307442425244,0.09602573984533672,1980.9659411086802,2152.119256819248,14.25,False,"SOC floor violated (min 0.006, unmet 210 Wh); did not refill (end SOC 0.908)"
6.0,0.4,1.3,0.34,0.4,0.5,0.16000000000000003,1.7893630154824944,1.1574520619299782,0.0,0.257211569286021,0.5000000000000001,5.286924520122082,-0.17615725252079395,2,mixed,False,26+26+24+15+15,5,106,24,41,8,19x10E,11.878048248834927,2.109447123715799,17.066083143428536,0.30558755532476517,8.989523456552389,10.787428147862867,10.966247360713334,95.39120859742866,98.03038861713101,2.6073646497720837,0.006182098933244128,0.9999999999999998,-211.19373572605326,211.19373572605326,217.79307634501222,2333.137663972446,2196.220669871939,13.833333333333332,False,"SOC floor violated (min 0.006, unmet 211 Wh)"
6.0,0.45,1.3,0.34,0.4,0.0,0.18000000000000002,0.5665992537056255,1.133198507411251,0.0,0.2518218904169699,0.5,5.243040088003767,-0.2366155490483004,2,mixed,False,26+26+24+9+9+8,6,102,24,35,8,19x10E,11.830413726077895,2.0429817985005188,17.621302366189855,0.3068657346887886,9.116248748553645,10.939498498264372,11.120838525157255,94.82268697165814,97.5607643739635,2.629628034889282,0.009388216498185126,0.9999999999999997,-212.50166141615978,212.50166141615978,144.13546663690437,2245.0947332565047,2183.581607576568,13.833333333333332,False,"SOC floor violated (min 0.009, unmet 213 Wh)"
6.0,0.45,1.6,0.34,0.4,0.0,0.18000000000000002,0.5067021963549303,1.0134043927098606,0.0,0.22520097610619072,0.5,5.235524723224792,-0.25134752704535135,2,mixed,False,26+26+21+10+10+7,6,100,21,36,7,19x10E,11.9349596333733,2.026809593015831,17.76190527420639,0.3071767386174873,9.192898200955407,11.031477841146488,11.214342575640408,95.09566578531698,97.88904151201558,2.610713847918801,0.0048269548182770135,0.999999999999956,-214.68569186095777,214.68569186095777,95.81030888074946,2201.0732678985332,2190.229736114589,14.0,False,"SOC floor violated (min 0.005, unmet 215 Wh)"
6.0,0.3,1.6,0.34,1.0,1.0,0.3,3.0,0.8714212528966688,0.0,0.19364916731037085,0.5,5.200618891526554,-0.4670266896246775,2,mixed,False,26+26+12+12+12,5,88,12,38,0,19x10E,11.222788217817277,1.7999999999999998,20.000000000000004,0.3115384615384616,9.459378002417978,11.351253602901574,11.539419142112052,94.44812478126683,97.5210654750682,2.793074659038628,0.009174474845757572,0.8586219635346022,-230.99741749304624,230.99741749304624,0.18450492680163083,1936.9444757507108,2176.4600881238134,14.333333333333332,False,"SOC floor violated (min 0.009, unmet 231 Wh); did not refill (end SOC 0.859)"
6.0,0.36,1.6,0.34,0.4,0.5,0.144,1.733439304305606,0.9337572172224234,0.0,0.2075016038191957,0.5,5.171792004214301,-0.3839250704656292,2,mixed,False,26+26+14+7+7,5,80,14,33,0,19x10E,11.35624506040306,1.886422889730011,19.083737902031288,0.3098764828934878,9.29493374415756,11.153920492989073,11.338814914107246,90.43988512613966,93.11192615354797,2.7697836147106716,0.00753698057743076,0.7369126478071807,-234.82238221826344,187.87315533454807,0.11983148242154229,1760.8586143188277,2075.9416327877275,14.5,False,"SOC floor violated (min 0.008, unmet 188 Wh); did not refill (end SOC 0.737)"
6.0,0.36,1.3,0.34,0.4,0.5,0.144,1.7596580248182372,1.0386320992729488,0.0,0.23080713315585882,0.5,5.174807151901966,-0.3791094727378741,2,mixed,False,26+26+14+7+6,5,79,14,32,7,19x10E,11.194722165495898,1.8920861333607393,19.026617956369936,0.30976757436501645,9.21477334981055,11.057728019772659,11.24102789378406,89.47895162318474,92.08813670490665,2.809353703767222,0.002434953048352979,0.7213832601351248,-249.82377070946944,171.1319532747241,0.10665778653477057,1738.847881639842,2052.282097232805,14.5,False,"SOC floor violated (min 0.002, unmet 171 Wh); did not refill (end SOC 0.721)"
5.5,0.3,1.6,0.34,0.4,0.0,0.12,0.31638983679641164,0.6327796735928233,0.0,0.1406177051931655,0.5,4.967619271069766,-0.8026845386830148,2,mixed,False,21+21+8,3,50,8,21,0,22x12E,9.59983348747534,1.211950170623354,24.95977205435866,0.31841690649206106,10.661981318534144,12.794377582240973,13.006465254743459,56.74764778952966,58.23059769261401,7.376241405369962,0.25570656540747017,0.7117358980074823,-259.1431225247721,0.0,0.34358878576136215,1100.5366339492666,1255.9079918694158,14.583333333333332,False,did not refill (end SOC 0.712)
6.0,0.36,1.3,0.34,0.6,0.0,0.216,0.48869414444094267,0.9773882888818853,0.0,0.2171973975170643,0.5,5.1248947811860655,-0.4676549397427605,2,mixed,False,26+26+14+6+6,5,78,14,32,0,19x10E,10.985205229090756,1.7983719567994956,20.018105744969485,0.31156977006695225,9.362951546189478,11.235541855427373,11.42178928372974,88.56396720607923,91.30959184751167,2.8749944218818646,0.005001363120404821,0.7108047978636106,-260.0425652637521,162.23436092792727,0.4576885979487564,1716.8371489608571,2031.3898449860646,14.583333333333332,False,"SOC floor violated (min 0.005, unmet 162 Wh); did not refill (end SOC 0.711)"
