prop,diameter_in,pitch_in,kv,r_ohm,i0_a,prop_rpm,motor_rpm,voltage_v,p_bus_w,p_shaft_w,idle_w,efficiency,climb_ms,climb_ok,duty
16x12E,16.0,12.0,240.0,0.11381770833333335,0.608780487804878,2292.079397300603,2292.079397300603,9.950797872842989,73.70912358886376,64.00792320637088,12.115703166154194,0.7540107908862391,4.067108769806377,True,0.44823413841635085
16x12E,16.0,12.0,480.0,0.028454427083333338,1.217560975609756,2292.079397300603,2292.079397300603,4.975398936421494,73.70912358886376,64.00792320637088,12.115703166154194,0.7540107908862391,16.814603776359938,True,0.22411706920817542
16x12E,16.0,12.0,320.0,0.0640224609375,0.8117073170731708,2292.079397300603,2292.079397300603,7.463098404632242,73.70912358886378,64.00792320637088,12.115703166154196,0.754010790886239,7.5418925431452415,True,0.33617560381226314
16x12E,16.0,12.0,640.0,0.016005615234375,1.6234146341463416,2292.079397300603,2292.079397300603,3.731549202316121,73.70912358886378,64.00792320637088,12.115703166154196,0.754010790886239,27.854331873373383,True,0.16808780190613157
16x12E,16.0,12.0,660.0,0.015050275482093664,1.6741463414634148,2292.079397300603,2292.079397300603,3.6184719537610865,73.70912358886378,64.00792320637088,12.115703166154196,0.754010790886239,29.16010000624371,True,0.1629942321514003
16x12E,16.0,12.0,580.0,0.019488406658739597,1.471219512195122,2292.079397300603,2292.079397300603,4.117571533590202,73.70912358886378,64.00792320637088,12.115703166154194,0.754010790886239,23.759920960706342,True,0.18547619520676586
16x12E,16.0,12.0,700.0,0.013379387755102041,1.775609756097561,2292.079397300603,2292.079397300603,3.411702127831882,73.70912358886378,64.00792320637088,12.115703166154196,0.754010790886239,31.584296137107213,True,0.15368027602846315
16x12E,16.0,12.0,740.0,0.011972059897735574,1.8770731707317074,2292.079397300603,2292.079397300603,3.227285796597726,73.70912358886378,64.00792320637088,12.115703166154196,0.754010790886239,33.93054883432173,True,0.14537323408097866
16x12E,16.0,12.0,560.0,0.020905293367346936,1.420487804878049,2292.079397300603,2292.079397300603,4.264627659789853,73.70912358886378,64.00792320637088,12.115703166154198,0.754010790886239,22.346383007226905,True,0.19210034503557896
16x12E,16.0,12.0,780.0,0.010775641025641026,1.9785365853658536,2292.079397300603,2292.079397300603,3.0617839608747657,73.70912358886378,64.00792320637088,12.115703166154194,0.754010790886239,36.049515406230185,True,0.13791819643580025
