span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,1.3,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.8852044271199989,5.071314063254476,0.4788194846147553,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.600065490289976,1.6804799999999998,21.422450728363327,0.6267156108215878,8.996039489270254,10.795247387124304,10.97419621661654,107.00910699409091,110.04157036576109,15.932341695777907,0.0007414484562712383,0.5664028600747966,-414.9032231571837,414.9032231571837,0.15091064098645407,1767.9214216457392,2475.005327641274,15.166666666666666,False,"SOC floor violated (min 0.001, unmet 415 Wh); did not refill (end SOC 0.566); FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1604 rpm, 10.80 m/s; FLAG MJ-21x14EL: thrust table 1.91 N vs similarity 0.00 N (100%) at 1645 rpm, 10.97 m/s"
6.0,0.36,1.3,0.34,0.4,0.0,0.144,0.65,1.3,1.3,0.21885521885521889,0.7622593677977768,5.057846135436199,0.22893132356663815,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.48228161876405,1.6524,21.78649237472767,0.5179051271452908,9.021610471527094,10.825932565832511,11.00539005220084,105.60057700408473,108.58341916526228,16.158239501797087,0.003301340850927037,0.5449685437357518,-420.24038675126377,401.8079254785535,0.3852180146847388,1725.8280544636973,2440.5137170083453,15.25,False,"SOC floor violated (min 0.003, unmet 402 Wh); did not refill (end SOC 0.545); FLAG MJ-21x14EL: thrust table 1.85 N vs similarity 0.00 N (100%) at 1599 rpm, 10.83 m/s; FLAG MJ-21x14EL: thrust table 1.86 N vs similarity 0.00 N (100%) at 1640 rpm, 11.01 m/s"
6.0,0.3,1.3,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,0.9994199088448985,5.032918019483581,0.5247371001818973,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.475507517613053,1.6001999999999998,22.49718785151856,0.711059761387547,9.164613547228088,10.997536256673705,11.179838354055692,108.43123758848485,111.86101709844205,16.37414710732672,0.0011951233941052079,0.6243954244993088,-425.06833214470964,425.06833214470964,0.13327629713776426,1852.108156009821,2512.931902754082,15.083333333333332,False,"SOC floor violated (min 0.001, unmet 425 Wh); did not refill (end SOC 0.624); FLAG MJ-21x14EL: thrust table 1.87 N vs similarity 0.00 N (100%) at 1628 rpm, 11.00 m/s; FLAG MJ-21x14EL: thrust table 1.88 N vs similarity 0.00 N (100%) at 1673 rpm, 11.18 m/s"
6.0,0.36,1.3,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,0.943749693463914,5.078040236253278,0.5739083047983008,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.65895742605294,1.6945200000000002,21.244954323348203,0.6790348859817393,8.98354540625869,10.780254487510428,10.958954785242303,107.73566106469173,110.79424333582638,15.82159853820378,0.003996212016674808,0.5812981866127948,-426.03725417169017,426.03725417169017,0.1991526733000614,1788.9681052367587,2492.6733422809566,15.166666666666666,False,"SOC floor violated (min 0.004, unmet 426 Wh); did not refill (end SOC 0.581); FLAG MJ-21x14EL: thrust table 1.93 N vs similarity 0.00 N (100%) at 1606 rpm, 10.78 m/s; FLAG MJ-21x14EL: thrust table 1.93 N vs similarity 0.00 N (100%) at 1648 rpm, 10.96 m/s"
6.0,0.3,1.3,0.34,0.4,0.5,0.12,1.9225,1.69,1.69,0.21885521885521889,1.0759020188338344,5.035403662201232,0.6113510180369229,2,one_per_bay,True,26+26+26+13,4,91,26,26,13,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.535682552576016,1.60605,22.41524236480807,0.778319666098801,9.174144163640646,11.008972996368774,11.191464676361353,109.45544759720228,112.96086216153975,16.289987844145863,0.004279715931646945,0.6730798724018946,-435.388463466232,435.388463466232,0.40265006017541555,1915.2482067828832,2538.7715912922367,14.916666666666668,False,"SOC floor violated (min 0.004, unmet 435 Wh); did not refill (end SOC 0.673); FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1634 rpm, 11.01 m/s; FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1680 rpm, 11.19 m/s"
6.0,0.36,1.6,0.34,0.4,0.0,0.144,0.65,1.3,1.3,0.21885521885521889,0.9381653757511099,5.058161394978848,0.46905502227323925,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.70506476322559,1.6524,21.78649237472767,0.6374216949480503,9.11697595404701,10.940371144856412,11.121725637289602,107.94152580703391,111.17097737549338,15.954136324029156,0.006209113218105893,0.5254602620176779,-440.71368079591065,440.71368079591065,0.11909448244221701,1725.8280544636973,2498.5851996288065,15.333333333333332,False,"SOC floor violated (min 0.006, unmet 441 Wh); did not refill (end SOC 0.525); FLAG MJ-21x14EL: thrust table 1.88 N vs similarity 0.00 N (100%) at 1620 rpm, 10.94 m/s; FLAG MJ-21x14EL: thrust table 1.88 N vs similarity 0.00 N (100%) at 1664 rpm, 11.12 m/s"
6.0,0.36,1.6,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,1.0894823718399986,5.071625309459294,0.6768412988725628,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.822454099951514,1.6804799999999998,21.422450728363327,0.7713422902419542,9.08991778504642,10.907901342055704,11.088717594558245,109.37264357821653,112.65096386321092,15.733511506399735,0.004090584557395697,0.5466331931309172,-454.16614441786237,454.16614441786237,0.2246242896950233,1767.9214216457387,2533.355555013809,15.333333333333332,False,"SOC floor violated (min 0.004, unmet 454 Wh); did not refill (end SOC 0.547); FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1625 rpm, 10.91 m/s; FLAG MJ-21x14EL: thrust table 1.93 N vs similarity 0.00 N (100%) at 1669 rpm, 11.09 m/s"
6.0,0.36,1.6,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,1.1615380842632788,5.078349508656256,0.7564840638548107,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.881148768314478,1.6945200000000002,21.244954323348203,0.8357352442852176,9.076695735597129,10.892034882716555,11.072588122781756,110.10678824010706,113.41074285153005,15.625351694825007,0.007713439844537087,0.56173522667485,-465.67115129252164,465.67115129252164,0.27574038128306455,1788.9681052367587,2551.1971910615525,15.333333333333332,False,"SOC floor violated (min 0.008, unmet 466 Wh); did not refill (end SOC 0.562); FLAG MJ-21x14EL: thrust table 1.95 N vs similarity 0.00 N (100%) at 1628 rpm, 10.89 m/s; FLAG MJ-21x14EL: thrust table 1.96 N vs similarity 0.00 N (100%) at 1672 rpm, 11.07 m/s"
6.0,0.3,1.6,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,1.2300552724244904,5.032634830993555,0.7004316384976292,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.699024092151515,1.6001999999999998,22.49718785151856,0.8751504755539039,9.26187046419765,11.114244557037178,11.298481284816518,111.04443083766867,114.7430499997957,16.165778228040224,0.0027479024300319788,0.6000148367863918,-466.32870725822295,466.32870725822295,0.20297979075975428,1852.1081560098207,2577.73747603617,15.166666666666666,False,"SOC floor violated (min 0.003, unmet 466 Wh); did not refill (end SOC 0.600); FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1652 rpm, 11.11 m/s; FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1700 rpm, 11.30 m/s"
6.0,0.3,1.6,0.34,0.4,0.5,0.12,1.9225,1.69,1.69,0.21885521885521889,1.3241871001031809,5.035467647956874,0.7717605476362412,2,one_per_bay,True,26+26+26+13,4,91,26,26,13,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.759116932364478,1.60605,22.41524236480807,0.9579318967369859,9.270913646957968,11.125096376349562,11.309512990730308,112.12987421712509,115.8871171384748,16.08379397105835,0.005838301114273053,0.6483029741175962,-476.9466850097532,476.9466850097532,0.12009845099136503,1915.2482067828832,2604.6190639263787,15.083333333333332,False,"SOC floor violated (min 0.006, unmet 477 Wh); did not refill (end SOC 0.648); FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1658 rpm, 11.13 m/s; FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1707 rpm, 11.31 m/s"
