span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,fuselage_length_m,packing_ok
5.9893579143513564,0.3164317126440861,0.9597372543768716,0.3058858558783192,0.524715107914608,0.6324012312151643,0.2957028167857474,0.38641891491304575,1.5619149772104528,0.16603650024764585,2.136304591023504,1.319187940770179,1.319187940770179,0.20968461108741998,0.5,0.035,1.8594504323746914,1.0952285248009868,36.57528164736702,34.43487893653998,2.140402710827042,0.10995574287564278,-0.03523870981815162,3.1890922617391655,-0.6880965086825717,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,9.834307910579348,1.7661273873634955,20.31133681684998,0.3420339731970546,9.288917993080023,12.07559339100403,12.275766043399353,90.41648265570372,94.40445215728793,13.69388722017086,0.009908414541593628,0.8092037530547127,-183.62847155282057,180.33332863927697,0.37436775017006946,1851.5693876139799,2088.545955585535,14.333333333333332,False,"SOC floor violated (min 0.010, unmet 180 Wh); did not refill (end SOC 0.809); FLAG 16x12E: shaft power table 34.7 W vs similarity 28.6 W (18%) at 2529 rpm, 12.08 m/s; FLAG 16x12E: (12.28 m/s, 2614 rpm) not on the map; used C_T(J) similarity",1.1811286287229943,1.016431712644086,True
5.981757836686135,0.33295022750919984,1.080920543734794,0.30030227615103505,0.49103999857597813,0.5607308419171684,0.4503571731272866,0.3075925771557853,1.3784950161443248,0.16349187924198907,1.9679688572178176,1.3244308092677293,1.3244308092677293,0.20643835119238413,0.5209849660009944,0.03500000000000001,1.8101462484958155,1.1407326698472517,36.680756611135976,34.603341287136736,2.077415323999237,0.10995574287564279,-0.0397386268788665,3.2254027475182316,-0.5534406357633024,2,one_per_bay,True,25+25+20+10,4,80,20,25,10,A40-12L-V4-kv410-direct,16x12E,9.937786918630707,1.8182869832453914,19.67864652085397,0.3568055130579617,9.194187729339932,11.952444048141912,12.150575299356912,89.70933318022817,91.57392448323631,13.431843994834145,0.008746649786208876,0.7936907142510196,-184.75073630652224,172.79171175046025,0.4532335061774214,1806.4091586477853,2050.89299631263,14.416666666666666,False,"SOC floor violated (min 0.009, unmet 173 Wh); did not refill (end SOC 0.794); FLAG 16x12E: shaft power table 34.4 W vs similarity 28.4 W (18%) at 2514 rpm, 11.95 m/s; FLAG 16x12E: shaft power table 34.9 W vs similarity 29.1 W (17%) at 2561 rpm, 12.15 m/s",1.2894663006270901,1.0329502275091997,True
5.979974608122799,0.3221026620525074,1.0124085980944313,0.3017692670873289,0.4583351500619698,0.7491416276512952,0.5564289727438427,0.7271309830966068,2.356403410233244,0.14763097194719593,2.407510677891867,1.3361062714514358,1.3361062714514358,0.20950023242234547,0.5,0.035,1.8972444904222143,1.052742813639185,38.34483979386418,36.119184353211224,2.2256554406529583,0.10995574287564278,-0.037230973973017,3.1841368474874265,-0.6390713628519209,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,9.959551538869256,1.8245400588681155,19.599512841596805,0.34179274777127505,9.21588870897238,11.980655321664095,12.17925422074248,90.58461519821172,92.49091770377416,13.42546274473654,0.008232748739741535,0.8265452358466182,-185.2471647174097,180.78577709475988,0.17618811722698524,1851.5693876139796,2072.29949710207,14.416666666666666,False,"SOC floor violated (min 0.008, unmet 181 Wh); did not refill (end SOC 0.827); FLAG 16x12E: shaft power table 34.8 W vs similarity 28.7 W (17%) at 2523 rpm, 11.98 m/s; FLAG 16x12E: shaft power table 35.2 W vs similarity 29.5 W (16%) at 2570 rpm, 12.18 m/s",1.2318292780150524,1.0221026620525073,True
5.996927971237341,0.31869230072437077,0.9172442291583569,0.30920694660742265,0.5782676665537327,0.5382199884433732,0.08535991800452214,0.11154674565130385,0.9144240608476162,0.18428945308852235,1.9152691457835256,1.3055389430125208,1.3055389430125208,0.22101414913035755,0.5,0.035,1.7885960681157371,1.1698679175029332,36.565595028763006,34.47462911595837,2.0909659128046334,0.10995574287564278,-0.033635978654148774,3.2373668375993603,-0.7129735742074528,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,9.83764397832717,1.7655903014136611,20.368907250687815,0.3368538619741836,9.260139826104966,12.038181773936456,12.237734267770927,90.58654546212796,94.59755332181957,13.650175896237185,0.008209549467809205,0.8056484124398026,-185.2695752140963,180.84543692172534,0.3421842227481295,1851.5693876139799,2092.515916413127,14.416666666666666,False,"SOC floor violated (min 0.008, unmet 181 Wh); did not refill (end SOC 0.806); FLAG 16x12E: shaft power table 34.8 W vs similarity 28.7 W (18%) at 2527 rpm, 12.04 m/s; FLAG 16x12E: (12.24 m/s, 2612 rpm) not on the map; used C_T(J) similarity",1.141528294578286,1.0186923007243707,True
6.0,0.31,0.9,0.34,0.6,0.5,0.0,0.0,3.0,0.186,1.8250000000000002,1.3,1.3,0.21885521885521889,0.5138575023645351,0.035,1.6987903225818166,1.2612096774181834,37.54443412261396,35.415596502319026,2.1288376202949286,0.10995574287564278,-0.03298672286269283,3.708460667699847,-0.604768857468531,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,9.731491596991232,1.7143000000000002,20.99982500145832,0.34781040449183576,9.04883942336929,11.763491250380078,11.958490300842637,87.47344686431876,89.3156582246718,13.535449806999273,0.007406862609765719,0.8572101749239383,-186.0449707189663,135.44492387197738,0.0959081333946384,1851.5693876139796,1997.3242855070969,14.25,False,"SOC floor violated (min 0.007, unmet 135 Wh); did not refill (end SOC 0.857); FLAG 16x12E: shaft power table 33.5 W vs similarity 27.6 W (18%) at 2484 rpm, 11.76 m/s; FLAG 16x12E: shaft power table 34.1 W vs similarity 28.3 W (17%) at 2529 rpm, 11.96 m/s",1.1232997668001012,1.01,True
5.999753820638976,0.31014878238733296,0.9013818794169979,0.33921085034653853,0.5982584629329066,0.5030627878383417,0.006840381941335405,0.00893888328861192,0.6133746797860979,0.18554913383155835,1.803238534278542,1.183699209491568,1.183699209491568,0.23291690217941233,0.5,0.035,1.684885357510086,1.2749915528094022,37.425301346488986,35.624574261960746,1.800727084528239,0.10995574287564278,-0.0330387269640952,3.707451909627267,-0.7454539444280517,2,one_per_bay,True,26+26+18+9,4,79,18,26,9,A40-12L-V4-kv410-direct,16x12E,9.692428516802295,1.7117156209918725,21.02980510712002,0.32467544358379263,9.037474489629483,11.748716836518328,11.94347097697816,86.73069024505511,88.5625049820455,13.579276515645834,0.005900004180123906,0.7996997631043422,-187.50059596200032,129.23174498528266,0.21512543211545437,1783.829044164688,1979.244108338907,14.333333333333332,False,"SOC floor violated (min 0.006, unmet 129 Wh); did not refill (end SOC 0.800); FLAG 16x12E: shaft power table 33.2 W vs similarity 27.3 W (18%) at 2477 rpm, 11.75 m/s; FLAG 16x12E: shaft power table 33.8 W vs similarity 28.0 W (17%) at 2523 rpm, 11.94 m/s",1.1206156826866642,1.010148782387333,True
5.793136141977941,0.3651536076247021,1.0206672758116295,0.34363641998834377,0.553941094973152,0.5441461282115723,0.01366622619282154,0.729989249002065,2.3006923552665572,0.2022735892410242,1.8905627504125315,1.3794176991373415,1.3794176991373415,0.23813967400180724,0.5,0.035,1.728990026542161,1.1275780444468095,36.3488420270444,33.86809444695304,2.480747580091364,0.10995574287564278,-0.03874524119241858,3.865801289621723,-0.3634074617912433,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,10.232872387062237,1.9515263965947254,17.197013792922103,0.32844597172700446,8.696773354776969,11.30580536121006,11.49321752170104,90.20581684515712,91.94028756472382,12.405590993841686,0.004806353754225801,0.8284888371650175,-188.55706227341787,172.16379716125428,0.22207396214784697,1851.5693876139796,2061.7061545729043,14.333333333333332,False,"SOC floor violated (min 0.005, unmet 172 Wh); did not refill (end SOC 0.828); FLAG 16x12E: shaft power table 34.3 W vs similarity 29.0 W (15%) at 2469 rpm, 11.31 m/s",1.234199180866117,1.0651536076247021,True
5.6917715622844165,0.32360496808172245,0.9433772475329517,0.3205195233871602,0.511631925839285,0.43703921365814835,0.01444420283460035,0.18819245244576221,1.1210557656114228,0.165566633030812,1.6497751207096445,1.4424146285450252,1.4424146285450252,0.2125807133775048,0.5860163296280686,0.035,1.7896620304286506,1.0162237507135576,35.267681833951904,32.121827128144844,3.14585470580706,0.10995574287564278,-0.03644901940612404,3.7582473590378527,-0.21333902572681707,2,one_per_bay,True,23+23+22+11,4,79,22,23,11,A40-12L-V4-kv410-direct,16x12E,9.590098245119254,1.6528542174300969,19.600194122141144,0.40642332485747906,9.148309333882688,11.892802134047495,12.089944723276984,88.07519700912198,89.89066556809419,13.866837204759177,0.004487111901037547,0.7853098655656143,-188.86544990359775,147.16016916663125,0.10444538327806303,1783.829044164688,2011.202968575753,14.416666666666666,False,"SOC floor violated (min 0.004, unmet 147 Wh); did not refill (end SOC 0.785); FLAG 16x12E: shaft power table 33.8 W vs similarity 27.7 W (18%) at 2498 rpm, 11.89 m/s; FLAG 16x12E: shaft power table 34.3 W vs similarity 28.4 W (17%) at 2544 rpm, 12.09 m/s",1.1482008825366803,1.0236049680817225,True
5.820777832931857,0.3221026620525074,1.0124085980944313,0.3293112393276091,0.4583351500619698,0.7491416276512952,0.5564289727438427,0.867148510412627,2.6120597112432424,0.14763097194719593,2.3470653204815077,1.3296094440899249,1.3296094440899249,0.2153673252249425,0.5251730204676104,0.03500000000000001,1.9655008404440857,0.904888076021843,35.850687561992665,33.27959242377509,2.5710951382175726,0.10995574287564279,-0.03824923152618956,3.217522748491162,-0.5193332935074335,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,9.860003507016042,1.776604015335973,19.070909604999166,0.35507016804040964,9.283629880061108,12.068718844079442,12.26877753964901,90.89925559934599,94.89602639296074,13.64829564709411,0.0044258269636010695,0.7989926006366336,-188.92465115316136,181.78238091120642,0.31667631776316557,1851.5693876139799,2099.8845211564367,14.416666666666666,False,"SOC floor violated (min 0.004, unmet 182 Wh); did not refill (end SOC 0.799); FLAG 16x12E: shaft power table 34.9 W vs similarity 28.8 W (17%) at 2532 rpm, 12.07 m/s; FLAG 16x12E: (12.27 m/s, 2617 rpm) not on the map; used C_T(J) similarity",1.2231179012837237,1.0221026620525073,True
5.971343399841143,0.3117407848294123,1.080920543734794,0.3027912909671626,0.5415433413065442,0.5607308419171684,0.32976642328983985,0.4184186336887862,1.6465812539561093,0.1688211462380444,1.9742549543558487,1.3663456350128496,1.3663456350128496,0.2071753301028277,0.607154395611888,0.035,1.8627077716131426,1.082963928307429,35.63287832540379,33.292027718791424,2.340850606612363,0.10995574287564278,-0.03980793379897222,3.2090357442589643,-0.3447017679577544,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,9.765600843128658,1.7169599622110416,20.767486012258903,0.421009636307384,9.365535256914756,12.175195833989182,12.377019559300908,89.59805027242797,93.59548269065398,13.897016657384691,0.004191745416926801,0.8117071095617033,-189.15077392724874,163.30840705067155,0.08414103498700005,1851.5693876139796,2069.328172615961,14.25,False,"SOC floor violated (min 0.004, unmet 163 Wh); did not refill (end SOC 0.812); FLAG 16x12E: shaft power table 34.3 W vs similarity 28.2 W (18%) at 2532 rpm, 12.18 m/s; FLAG 16x12E: (12.38 m/s, 2618 rpm) not on the map; used C_T(J) similarity",1.2822433348459337,1.0117407848294122,True
