span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,n_packs,cells_per_string,string_plan,n_strings,n_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,1.3,0.34,0.6,0.5,0.216,1.7686004107020508,2,mixed,28+28+16+8,4,80,19x10E,11.277549268056202,1.982678459141095,18.157255824323304,0.30802541424728663,9.035031513618463,10.842037816342156,11.021762273500874,89.02152986659559,91.48789224817119,2.7778092105216197,0.009271802967556943,0.7541000096449809,-218.21939068294841,168.64583175270184,0.25516764120294033,1760.8586143188277,2039.9471594232527,14.5,False,"SOC floor violated (min 0.009, unmet 169 Wh); did not refill (end SOC 0.754)"
6.0,0.4,1.3,0.34,0.4,0.5,0.16000000000000003,1.7893630154824944,2,mixed,29+29+16+8,4,82,18x10E,11.561076576270185,2.109447123715799,17.066083143428536,0.30558755531315773,8.868767430165729,10.642520916198874,10.818938055381057,98.83312646277882,101.5104249082075,2.1965873612687976,0.002711000235856603,0.6925943678588397,-301.9388909865263,301.9388909865263,0.2678215038860022,1804.8800796767978,2276.5369375231153,14.833333333333334,False,"SOC floor violated (min 0.003, unmet 302 Wh); did not refill (end SOC 0.693)"
6.0,0.36,1.3,0.34,0.4,0.5,0.144,1.7596580248182372,2,mixed,27+27+14+7,4,75,19x10E,11.054722165495898,1.8920861333607393,19.026617956369936,0.3097675743584473,9.15697258293466,10.988367099521591,11.170517203171434,87.64472531511042,90.1624467103834,2.8493935715168908,0.005005725478678335,0.6615210097704005,-307.6507045617931,155.58252994929046,0.17278413041413168,1650.8049509239008,2006.9721405851908,14.666666666666668,False,"SOC floor violated (min 0.005, unmet 156 Wh); did not refill (end SOC 0.662)"
6.0,0.4,1.3,0.34,0.6,0.5,0.24,1.799056571143377,2,mixed,29+29+18+9+1,5,86,17x10E,11.885400595085605,2.20784905138294,16.305462539411614,0.3036952105503281,8.789631591559584,10.5475579098715,10.722400882365514,84.6578464306161,114.27172772275624,1.6828538776259683,0.006406600269393603,0.6581908687393285,-310.8676207978086,111.27018583685344,0.29384252140789135,1892.9230103927398,2207.927127256196,14.0,False,"SOC floor violated (min 0.006, unmet 111 Wh); did not refill (end SOC 0.658)"
6.0,0.4,1.6,0.34,0.4,0.5,0.16000000000000003,1.7600690922625093,2,mixed,29+29+16+8,4,82,18x10E,11.697270850589568,2.1024165821430025,17.123152616740228,0.3057227580357115,8.935756705438981,10.722908046526777,10.90065773348323,99.86520665706878,102.60776897587316,2.1718619116527416,0.008356843179925683,0.6881610461325826,-322.8640926423852,322.8640926423852,0.1763761649138639,1804.8800796767978,2301.905114358687,14.833333333333334,False,"SOC floor violated (min 0.008, unmet 323 Wh); did not refill (end SOC 0.688)"
5.5,0.4,1.3,0.28,0.6,0.5,0.24,1.661585651346976,2,mixed,27+27+16+8,4,78,19x10E,11.376537149193625,2.0258537042155162,14.931976547494031,0.2997897435780302,8.977376803043926,10.772852163652711,10.951429755795514,96.48381303782887,99.14226897239732,2.71664387973317,0.007132477153113447,0.6394055172624572,-329.01427032446634,281.414506254943,0.3821710828982627,1716.8371489608571,2219.7591543135586,14.916666666666668,False,"SOC floor violated (min 0.007, unmet 281 Wh); did not refill (end SOC 0.639)"
5.5,0.4,1.3,0.34,0.6,0.5,0.24,1.661585651346976,2,mixed,27+27+16+8,4,78,19x10E,11.376537149193625,2.0258537042155162,14.931976547494031,0.2997897435780302,8.977376803043926,10.772852163652711,10.951429755795514,96.48381303782887,99.14226897239732,2.71664387973317,0.007132477153113447,0.6394055172624572,-329.01427032446634,281.414506254943,0.3821710828982627,1716.8371489608571,2219.7591543135586,14.916666666666668,False,"SOC floor violated (min 0.007, unmet 281 Wh); did not refill (end SOC 0.639)"
4.5,0.52,1.3,0.28,0.4,0.5,0.20800000000000002,1.4556345697655915,2,mixed,29+27+27+10,4,93,19x10E,11.725012808058535,2.0921579857668644,9.679001364984163,0.27462707740967984,8.968253463832905,10.761904156599487,10.940300267672223,87.61593781659376,132.77542466066683,2.5052298238260584,0.005409124226662979,0.6288870289375333,-339.17513004634276,155.3064730087334,0.25170439311909354,2046.998139145637,2434.377376038987,14.0,False,"SOC floor violated (min 0.005, unmet 155 Wh); did not refill (end SOC 0.629)"
4.5,0.52,1.3,0.34,0.4,0.5,0.20800000000000002,1.4556345697655915,2,mixed,29+27+27+10,4,93,19x10E,11.725012808058535,2.0921579857668644,9.679001364984163,0.27462707740967984,8.968253463832905,10.761904156599487,10.940300267672223,87.61593781659376,132.77542466066683,2.5052298238260584,0.005409124226662979,0.6288870289375333,-339.17513004634276,155.3064730087334,0.25170439311909354,2046.998139145637,2434.377376038987,14.0,False,"SOC floor violated (min 0.005, unmet 155 Wh); did not refill (end SOC 0.629)"
5.5,0.45,1.3,0.28,0.6,0.0,0.27,0.5923102261814742,2,mixed,25+25+18+9,4,77,18x10E,11.49373748411199,2.0866158407126654,14.497158226148795,0.29839912888388054,8.891147930475254,10.669377516570306,10.8462398476993,68.12318265641792,109.00348693588454,2.1825097553881205,0.10258357904350511,0.6271823438604108,-340.8218558308431,0.0,0.28601452380208414,1694.8264162818712,1930.5728105952653,13.833333333333332,False,"SOC floor violated (min 0.103, unmet 0 Wh); did not refill (end SOC 0.627)"
