span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
5.5,0.3,1.3,0.34,0.4,0.0,0.12,0.78,1.56,1.56,0.21885521885521886,1.3665311455897433,5.010295239206739,0.7209274098527533,2,one_per_bay,True,24+17+17+12,4,70,24,17,12,22x12E,10.06268730553564,1.2953999999999999,23.351860429211058,0.9757213988462314,10.558530810948547,12.670236973138255,12.880266812606001,62.101323904418486,63.754702113790614,6.981442729797293,0.21288282474155512,0.9999999998152806,12.444808700342236,0.0,28.503237271436227,1540.751287528973,1387.241118834668,13.833333333333332,True,ok
5.5,0.3,1.3,0.34,0.4,0.0,0.12,0.845,1.69,1.69,0.21885521885521889,1.4552459862500784,5.016368183702319,0.7864569516257518,2,one_per_bay,True,26+16+16+13,4,71,26,16,13,22x12E,10.117301350498602,1.3071000000000002,23.142835284216964,1.055983792815566,10.539654751975169,12.647585702370202,12.857240060087035,62.74772832085557,64.41857141632103,6.936154226379384,0.20492596719874323,0.9999999999623415,4.75848431398595,0.0,34.5439043693914,1562.7620202079593,1403.0716214290558,13.75,True,ok
5.5,0.3,1.3,0.34,0.4,0.0,0.12,0.65,1.3,1.3,0.21885521885521889,1.1795679291533359,4.998238865201287,0.5515344279959118,2,one_per_bay,True,20+18+18+10,4,66,20,18,10,22x12E,9.937459215609714,1.272,23.781446540880502,0.8082344348232678,10.588698274683578,12.706437929620293,12.917067858975436,60.69214385090202,62.30398528049951,7.084635015934982,0.22709147005471103,0.9741069922743508,-5.692645462977087,0.0,0.22438545651938982,1452.7083568130336,1352.9985069558882,13.833333333333332,False,infeasible
5.5,0.3,1.6,0.34,0.4,0.0,0.12,0.78,1.56,1.56,0.21885521885521886,1.6818844868796838,5.009568158598441,0.8497810578494798,2,one_per_bay,True,24+17+17+12,4,70,24,17,12,22x12E,10.292003176324101,1.2953999999999999,23.351860429211058,1.2008878755030539,10.678160853502213,12.813793024202655,13.026202539316847,63.93058254023582,65.69202379208112,6.828852861936525,0.1865050872013043,0.9825546193041923,-13.036085763540065,0.0,0.27031462479027485,1540.751287528973,1432.2419670260815,13.833333333333332,False,"SOC floor violated (min 0.187, unmet 0 Wh)"
5.5,0.3,1.6,0.34,0.4,0.0,0.12,0.845,1.69,1.69,0.21885521885521889,1.7910719830770196,5.015645454234421,0.9053884515110667,2,one_per_bay,True,26+16+16+13,4,71,26,16,13,22x12E,10.346466530912064,1.3071000000000002,23.142835284216964,1.299672360388389,10.658352282351233,12.790022738821479,13.002038222692743,64.58750811362702,66.3644848216403,6.785535742899973,0.17858387966348643,0.9886720472458645,-20.687972245072118,0.0,0.296342633386016,1562.7620202079593,1448.1661245918403,13.833333333333332,False,"SOC floor violated (min 0.179, unmet 0 Wh)"
5.0,0.3,1.3,0.34,0.6,0.0,0.18,0.78,1.56,1.56,0.21885521885521886,1.2952280426716625,5.15627909781631,0.9776533503721352,2,one_per_bay,True,24+17+17+12,4,70,24,17,12,22x12E,10.051386027689485,1.2936,19.32591218305504,0.9067642833878763,10.559939306775739,12.671927168130887,12.881985025336872,65.7971432486792,67.5521572542356,6.962032932121145,0.1596122724834586,0.9366468251448621,-41.87916691006321,0.0,0.11530350294406824,1540.751287528973,1476.6815780238594,14.0,False,"SOC floor violated (min 0.160, unmet 0 Wh); did not refill (end SOC 0.937)"
5.0,0.3,1.6,0.34,0.4,0.5,0.12,1.5750000000000002,1.3,1.3,0.21885521885521889,1.23005527242449,5.189652868897069,0.9595648787366018,2,one_per_bay,True,21+21+20+10,4,72,20,21,10,22x12E,10.317646013398175,1.3335000000000001,18.74765654293213,0.8220488510347276,10.537613151957041,12.645135782348449,12.854749528645783,66.4410645282797,68.12182004334241,6.775137065820775,0.15324544874832727,0.9662771174577318,-45.16489650911587,0.0,0.23196445930317702,1584.772752886944,1491.6732297485094,13.833333333333332,False,"SOC floor violated (min 0.153, unmet 0 Wh)"
5.0,0.3,1.3,0.34,0.6,0.0,0.18,0.845,1.69,1.69,0.21885521885521889,1.3867496014885325,5.161179331520706,1.047073182260321,2,one_per_bay,True,26+16+16+13,4,71,26,16,13,22x12E,10.09896767065245,1.3014000000000001,19.21008145074535,0.9867927493238926,10.553136097728842,12.66376331727461,12.873685845339681,66.52113019916331,68.29990098322733,6.92289347545768,0.15071526913748132,0.9410189033516859,-47.609050013193055,0.0,0.13505795325376369,1562.7620202079593,1494.2948326205678,14.0,False,"SOC floor violated (min 0.151, unmet 0 Wh); did not refill (end SOC 0.941)"
5.5,0.3,1.6,0.34,0.4,0.0,0.12,0.65,1.3,1.3,0.21885521885521889,1.4517759128041057,4.997501769415584,0.7074334294010725,2,one_per_bay,True,20+18+18+10,4,66,20,18,10,22x12E,10.167076467148174,1.272,23.781446540880502,0.9947500736286373,10.710332128761364,12.852398554513636,13.065448019247633,62.49560704059269,64.21791472527784,6.927624982709164,0.2011010729301812,0.9281990106298579,-50.03975573155727,0.0,0.4045727474697358,1452.7083568130336,1397.1176458210682,14.0,False,did not refill (end SOC 0.928)
5.0,0.3,1.6,0.34,0.4,0.5,0.12,1.6400000000000001,1.56,1.56,0.21885521885521886,1.4540017095274538,5.199427621248352,1.1253508282376492,2,one_per_bay,True,24+20+20+12,4,76,24,20,12,22x12E,10.4217129680741,1.3452,18.584597085935176,1.0132316605131095,10.54446558806333,12.653358705675997,12.86310876033679,68.18746081049883,69.9307505714611,6.696043065141145,0.13420557210139272,0.9999999454099749,-63.55741735005464,0.0,12.550260616514832,1672.815683602885,1534.2225053550997,13.833333333333332,False,"SOC floor violated (min 0.134, unmet 0 Wh)"
