span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,0.8,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.5447411859199993,5.070838070762977,-0.18118934972900602,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.268770124751514,1.6804799999999998,21.422450728363327,0.3856711451209771,8.854342045609098,10.625210454730917,10.801340644785713,104.90263191560236,107.66052676461598,16.233797956927482,0.005077145101216419,0.5917786856948358,-386.6886554787119,386.6886554787119,0.40287411200781753,1767.9214216457392,2422.0245704740687,15.166666666666666,False,"SOC floor violated (min 0.005, unmet 387 Wh); did not refill (end SOC 0.592); FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1580 rpm, 10.63 m/s; FLAG MJ-21x14EL: thrust table 1.91 N vs similarity 0.00 N (100%) at 1618 rpm, 10.80 m/s"
6.0,0.36,0.9,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.6128338341599991,5.070924335291716,0.009468002990066005,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.328033230351515,1.6804799999999998,21.422450728363327,0.43388003826109917,8.879855368506904,10.655826442208285,10.832464142181692,105.02021459390502,107.81373635945108,16.180130119910565,0.003805643344754712,0.5891518947587749,-387.26973922341114,387.26973922341114,0.37733917953530016,1767.9214216457392,2425.161259182712,15.166666666666666,False,"SOC floor violated (min 0.004, unmet 387 Wh); did not refill (end SOC 0.589); FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1583 rpm, 10.66 m/s; FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1622 rpm, 10.83 m/s"
6.0,0.3,0.8,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,0.6150276362122452,5.033966947500173,-0.06093533420368469,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.140452269151515,1.6001999999999998,22.49718785151856,0.43757523777695195,9.016859083937705,10.820230900725246,10.99959387269659,105.93734775800144,109.03537287317528,16.692993319164497,0.009077969399516224,0.6577282748668453,-394.9930029730167,394.9930029730167,0.42296001928419,1852.108156009821,2450.3785722286043,15.0,False,"SOC floor violated (min 0.009, unmet 395 Wh); did not refill (end SOC 0.658); FLAG MJ-21x14EL: thrust table 1.87 N vs similarity 0.00 N (100%) at 1600 rpm, 10.82 m/s; FLAG MJ-21x14EL: thrust table 1.88 N vs similarity 0.00 N (100%) at 1642 rpm, 11.00 m/s"
6.0,0.3,0.8,0.34,0.4,0.5,0.12,1.9225,1.69,1.69,0.21885521885521889,0.6620935500515904,5.036445634680485,0.07655573208409816,2,one_per_bay,True,26+26+26+13,4,91,26,26,13,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.200901286614478,1.60605,22.41524236480807,0.47896594836849293,9.027208940599104,10.832650728718924,11.012219579592553,106.89460520948157,110.06093433397959,16.605350352829348,0.0030269393931382817,0.6987072683242426,-395.82379285952635,395.82379285952635,0.2803576800694761,1915.2482067828832,2474.4952086687817,14.833333333333334,False,"SOC floor violated (min 0.003, unmet 396 Wh); did not refill (end SOC 0.699); FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1606 rpm, 10.83 m/s; FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1649 rpm, 11.01 m/s"
6.0,0.3,0.9,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,0.6919060907387758,5.033775482090397,0.10824548416675839,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.200801563151515,1.6001999999999998,22.49718785151856,0.4922721424990709,9.043650485521058,10.852380582625269,11.032276488001308,106.13913244914602,109.28108691521554,16.635657728369296,0.006931100785531687,0.6533660281063329,-395.98877181705205,395.98877181705205,0.3820076789441463,1852.108156009821,2455.616768974142,15.0,False,"SOC floor violated (min 0.007, unmet 396 Wh); did not refill (end SOC 0.653); FLAG MJ-21x14EL: thrust table 1.86 N vs similarity 0.00 N (100%) at 1604 rpm, 10.85 m/s; FLAG MJ-21x14EL: thrust table 1.87 N vs similarity 0.00 N (100%) at 1646 rpm, 11.03 m/s"
6.0,0.3,0.9,0.34,0.4,0.5,0.12,1.9225,1.69,1.69,0.21885521885521889,0.7448552438080392,5.036255549423417,0.23103988077477533,2,one_per_bay,True,26+26+26+13,4,91,26,26,13,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.261171430114478,1.60605,22.41524236480807,0.5388366919145545,9.053837465485245,10.864604958582293,11.044703502924383,107.10912799361226,110.32049329300834,16.54867228074839,0.000739949014386343,0.6940355396833927,-396.86440599739944,396.86440599739944,0.2587277668170801,1915.2482067828832,2480.056587091171,14.833333333333334,False,"SOC floor violated (min 0.001, unmet 397 Wh); did not refill (end SOC 0.694); FLAG MJ-21x14EL: thrust table 1.88 N vs similarity 0.00 N (100%) at 1610 rpm, 10.86 m/s; FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1653 rpm, 11.04 m/s"
6.0,0.36,0.8,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,0.5807690421316394,5.07756787004411,-0.03461818768400149,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.32831961851448,1.6945200000000002,21.244954323348203,0.4178676221426088,8.843114290863415,10.611737149036097,10.787643997077781,105.60738435509028,108.38969219188104,16.118764527813827,0.007968376429568581,0.6069291173180597,-397.4169042433724,397.4169042433724,0.10022288216151765,1788.9681052367584,2439.3861360668916,15.083333333333332,False,"SOC floor violated (min 0.008, unmet 397 Wh); did not refill (end SOC 0.607); FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1582 rpm, 10.61 m/s; FLAG MJ-21x14EL: thrust table 1.93 N vs similarity 0.00 N (100%) at 1621 rpm, 10.79 m/s"
6.0,0.36,1.0,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.6809264823999991,5.071016667392124,0.16200113821485007,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.391843714831515,1.6804799999999998,21.422450728363327,0.4820889314012213,8.907244676019612,10.688693611223535,10.865876138120594,105.33242445448124,108.17458196747234,16.12189047124635,0.009580697529825216,0.5917483170440144,-397.586526054738,397.586526054738,0.31719824486509174,1767.9214216457392,2433.0839116056345,15.166666666666666,False,"SOC floor violated (min 0.010, unmet 398 Wh); did not refill (end SOC 0.592); FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1587 rpm, 10.69 m/s; FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1626 rpm, 10.87 m/s"
6.0,0.3,1.0,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,0.7687845452653065,5.033571532294207,0.2435983820193326,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.265480998351514,1.6001999999999998,22.49718785151856,0.5469690472211899,9.072276369074066,10.88673164288888,11.067196973105828,106.5293341776288,109.72874984102755,16.573870291264008,0.0027753144211005824,0.645173429425681,-397.9120520818697,397.9120520818697,0.310965235255639,1852.108156009821,2465.498761233681,15.0,False,"SOC floor violated (min 0.003, unmet 398 Wh); did not refill (end SOC 0.645); FLAG MJ-21x14EL: thrust table 1.86 N vs similarity 0.00 N (100%) at 1609 rpm, 10.89 m/s; FLAG MJ-21x14EL: thrust table 1.87 N vs similarity 0.00 N (100%) at 1652 rpm, 11.07 m/s"
6.0,0.36,0.9,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,0.6533651723980943,5.077653364482744,0.14116735728279317,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10S-V4G-kv1600-6.7PG,MJ-21x14EL,10.387392762914478,1.6945200000000002,21.244954323348203,0.4701010749104349,8.868367466499489,10.642040959799386,10.81845014292157,105.73225519604861,108.55051603923177,16.065922929674592,0.006625862767924278,0.6041502256516268,-398.04425453203004,398.04425453203004,0.08682089488229039,1788.9681052367584,2442.7036172235466,15.083333333333332,False,"SOC floor violated (min 0.007, unmet 398 Wh); did not refill (end SOC 0.604); FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1585 rpm, 10.64 m/s; FLAG MJ-21x14EL: thrust table 1.93 N vs similarity 0.00 N (100%) at 1624 rpm, 10.82 m/s"
