span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,n_packs,cells_per_string,string_plan,n_strings,n_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,1.3,0.34,0.4,0.5,0.144,1.7596580248182372,2,mixed,29+29+14+7+3,5,82,19x10E,11.218722165495898,1.8920861333607393,19.026617956369936,0.3097675743584473,9.224645687529259,11.06957482503511,11.253071079162586,89.74725896440633,92.37499106943278,2.8027257804101473,0.002714395060482668,0.77950127151599,-193.68177171555362,168.59723577949848,0.4248893222834565,1804.8800796767975,2058.8976701434926,14.5,False,"SOC floor violated (min 0.003, unmet 169 Wh); did not refill (end SOC 0.780)"
5.5,0.3,1.6,0.34,0.4,0.5,0.12,1.5606728476146494,3,mixed,28+28+10,3,66,22x12E,11.449336084102377,1.4359211125706368,21.066616915914956,0.3132910616322041,10.697278697090649,12.83673443650878,13.049524242943015,69.04400400012466,70.86206657593266,6.108523899872837,0.40389112733993887,0.8445209044166775,-196.3092095002343,0.0,0.3867385728851076,1452.7083568130333,1554.6307009024717,14.333333333333332,False,did not refill (end SOC 0.845)
6.0,0.45,1.6,0.34,0.4,0.0,0.18000000000000002,0.5067021963549303,2,mixed,29+29+21+7+7,5,93,19x10E,11.7709596333733,2.026809593015831,17.76190527420639,0.30717673859584943,9.129519253632937,10.955423104359523,11.137027107567048,93.10956203129035,95.78809257113744,2.651059662499344,0.005312011865328479,0.9745673391776183,-198.6498672510239,198.6498672510239,0.45800756940649967,2046.998139145637,2140.968372392806,14.166666666666668,False,"SOC floor violated (min 0.005, unmet 199 Wh)"
6.0,0.4,1.6,0.34,0.6,0.0,0.24,0.4894789889065679,2,mixed,29+29+21+7+7,5,93,19x10E,11.691445844753895,1.998316638225051,18.015163018397324,0.3077246800341336,9.163268413270304,10.995922095924364,11.17819743595968,93.12339303541253,95.83061782349434,2.671441335460655,0.00515054132473663,0.9739831061484859,-198.6913602633904,198.6913602633904,0.4509200273470171,2046.998139145637,2141.582476599361,14.166666666666668,False,"SOC floor violated (min 0.005, unmet 199 Wh)"
6.0,0.36,1.3,0.34,0.6,0.5,0.216,1.7686004107020508,2,mixed,29+29+16+8+5+5,6,92,19x10E,11.589549268056201,1.982678459141095,18.157255824323304,0.30802541424728663,9.159158575744506,10.990990290893407,11.173183878217934,92.97488627363444,95.69881246641341,2.6951616786961243,0.005914536276475377,0.9554595718412205,-199.12303561155775,199.12303561155775,0.3380485031338705,2024.9874064666515,2138.1825447962087,14.166666666666668,False,"SOC floor violated (min 0.006, unmet 199 Wh)"
5.5,0.3,1.3,0.34,0.4,0.0,0.12,0.3529443121020869,2,mixed,21+21+10,3,52,22x12E,9.42683400064827,1.2185299761783757,24.8249945355237,0.31826631968059665,10.536909993900704,12.644291992680843,12.853891751788451,56.17027458662283,57.60037856610865,7.497522343363247,0.26865334240576233,0.771880977635387,-201.04297560421614,0.0,0.11116777008541825,1144.5580993072372,1241.9109285473132,14.333333333333332,False,did not refill (end SOC 0.772)
6.0,0.4,1.3,0.34,0.4,0.5,0.16000000000000003,1.7893630154824944,2,mixed,29+29+24+12+12,5,106,19x10E,11.878048248834927,2.109447123715799,17.066083143428536,0.30558755531315773,8.989523456552389,10.787428147862867,10.966247360713334,94.92027630148976,97.55931859786475,2.6092514944382166,0.0032761180878669895,0.9999999999999998,-201.87091581311248,201.87091581311248,219.73409800999355,2333.137663972446,2184.9168945822344,13.833333333333332,False,"SOC floor violated (min 0.003, unmet 202 Wh)"
6.0,0.3,1.6,0.34,0.6,0.0,0.18,0.36332022724263985,3,mixed,26+26+10,3,62,22x12E,11.50270381815194,1.4835984272691167,24.265326343238158,0.3176231071679016,10.548488549817641,12.65818625978117,12.868016339023656,65.69940213447924,67.4530010795495,6.082749281070277,0.4317385920578726,0.8399380870765384,-202.94971182609586,0.0,0.23457730113095226,1364.6654260970909,1473.737107696514,14.333333333333332,False,did not refill (end SOC 0.840)
6.0,0.4,1.3,0.34,0.6,0.0,0.24,0.5454984328043848,2,mixed,29+29+24+8+6+6,6,102,19x10E,11.73142723598382,2.007279749248702,17.93471986825669,0.30755231251444803,9.158406654429783,10.99008798531574,11.172266615453905,94.30456866778289,97.07535040553137,2.6569453924056754,0.007112415859590118,0.9999999999999998,-203.0481412848494,203.0481412848494,146.754977316378,2245.0947332565047,2171.4792623605563,13.833333333333332,False,"SOC floor violated (min 0.007, unmet 203 Wh)"
6.0,0.45,1.3,0.34,0.4,0.0,0.18000000000000002,0.5665992537056255,2,mixed,29+29+24+8+6+6,6,102,19x10E,11.830413726077895,2.0429817985005188,17.621302366189855,0.3068657346442208,9.116248748553645,10.939498498264372,11.120838525157255,94.41444428143858,97.15384785910054,2.6312579784977514,0.0058513686708930555,0.9999999999999998,-203.3751532791426,203.3751532791426,144.7462444570824,2245.0947332565047,2173.7972657940936,13.833333333333332,False,"SOC floor violated (min 0.006, unmet 203 Wh)"
6.0,0.36,1.6,0.34,0.6,0.5,0.216,1.741673575454751,2,mixed,29+29+14+6+6,5,84,19x10E,11.56999288652958,1.978800994865484,18.192835001302,0.30809998086797147,9.160389393262838,10.992467271915405,11.174685342608916,91.96790218397672,94.6318261337149,2.7041998198512194,0.009787447156038498,0.805427033529999,-203.45510698034704,203.45510698034704,0.4346213928833234,1848.901545034769,2112.5369299379504,14.5,False,"SOC floor violated (min 0.010, unmet 203 Wh); did not refill (end SOC 0.805)"
6.0,0.3,1.3,0.34,1.0,1.0,0.3,3.0,2,mixed,29+29+14+9+9,5,90,19x10E,11.066233828027828,1.7999999999999998,20.000000000000004,0.3115384615384616,9.39316860733619,11.271802328803426,11.458650833582762,93.65683089026007,96.64555089627764,2.8327844872947354,0.004228088706301833,0.9029387933342817,-210.71162554735403,210.71162554735403,0.5247940960544769,1980.9659411086798,2156.654901424405,14.333333333333332,False,"SOC floor violated (min 0.004, unmet 211 Wh); did not refill (end SOC 0.903)"
