span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,1.6,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,1.0894823718399986,5.070454852279834,0.6759668362002612,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10L-V2-kv1100-6.7PG,26x15E,11.19658265809621,1.6804799999999998,21.422450728363327,0.7713422902419542,9.778551345143624,11.734261614172349,11.928776135749343,64.89862532472758,67.322614972151,13.645420090943704,0.19062242831595677,0.9999999999999999,-9.05873424678577,0.0,259.21841983928005,1848.9015450347686,1463.422897365987,13.333333333333334,False,"SOC floor violated (min 0.191, unmet 0 Wh)"
6.0,0.3,1.3,0.34,0.6,0.0,0.18,0.78,1.56,1.56,0.21885521885521886,1.1055276179618605,5.007337745438104,0.5512674555591293,2,one_per_bay,True,24+22+22+12,4,80,24,22,12,A40-10L-V2-kv1100-6.7PG,26x15E,10.665960179142363,1.5335999999999999,23.47417840375587,0.7897466857459732,9.990618566676547,11.988742280011856,12.187475233612439,64.78910889691707,67.53484164211129,14.510636396437471,0.18762176196214944,0.9999999999999999,-11.95737794456365,0.0,171.09507145697583,1760.8586143188272,1463.7688073505542,13.5,False,"SOC floor violated (min 0.188, unmet 0 Wh)"
5.5,0.3,1.6,0.34,0.4,0.0,0.12,0.78,1.56,1.56,0.21885521885521886,1.6818844868796838,5.009568158598441,0.8497810578494798,2,one_per_bay,True,24+17+17+12,4,70,24,17,12,A40-10L-V2-kv1100-6.7PG,22x12E,10.2920031763241,1.2953999999999999,23.351860429211058,1.2008878755030539,10.678160853502211,12.813793024202653,13.026202539316845,63.93058254023583,65.69202379208107,6.828852861936526,0.1865050872013043,0.9825546193041924,-13.036085763540065,0.0,0.2703146247902784,1540.751287528973,1432.2419670260817,13.833333333333332,False,"SOC floor violated (min 0.187, unmet 0 Wh)"
6.0,0.36,1.6,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,1.1615380842632788,5.0771763492929605,0.7556758107347481,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10L-V2-kv1100-6.7PG,26x15E,11.255277326459174,1.6945200000000002,21.244954323348203,0.8357352442852176,9.763447603034454,11.716137123641344,11.910351202231778,65.56640789031529,68.0065045535818,13.557534686718983,0.1824316831999188,0.9999999999999997,-16.97099402887846,0.0,264.8784856309766,1870.9122777137547,1479.621487109076,13.333333333333334,False,"SOC floor violated (min 0.182, unmet 0 Wh)"
6.0,0.3,1.3,0.34,0.6,0.0,0.18,0.845,1.69,1.69,0.21885521885521889,1.185676243871979,5.010668195126414,0.6291934483400861,2,one_per_bay,True,26+21+21+13,4,81,26,21,13,A40-10L-V2-kv1100-6.7PG,26x15E,10.713639238105326,1.5413999999999999,23.35539120280265,0.8611140681702213,9.98755723360003,11.985068680320037,12.183740738015105,65.4930118493642,68.27421354857975,14.439206635525588,0.17894207987983424,0.9999999999999997,-20.341950836080137,0.0,175.69198291896356,1782.869346997813,1481.0349022265057,13.5,False,"SOC floor violated (min 0.179, unmet 0 Wh)"
5.5,0.3,1.6,0.34,0.4,0.0,0.12,0.845,1.69,1.69,0.21885521885521889,1.7910719830770196,5.015645454234421,0.9053884515110667,2,one_per_bay,True,26+16+16+13,4,71,26,16,13,A40-10L-V2-kv1100-6.7PG,22x12E,10.346466530912064,1.3071000000000002,23.142835284216964,1.299672360388389,10.658352282351233,12.790022738821479,13.002038222692743,64.58750811362702,66.3644848216403,6.785535742899973,0.17858387966348643,0.9886720472458645,-20.687972245072118,0.0,0.296342633386016,1562.7620202079593,1448.1661245918403,13.833333333333332,False,"SOC floor violated (min 0.179, unmet 0 Wh)"
6.0,0.3,1.6,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,1.2300552724244904,5.034743770721203,0.6994256730170969,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10L-V2-kv1100-6.7PG,26x15E,11.07315265029621,1.6001999999999998,22.49718785151856,0.8751504755539039,9.965451037795082,11.958541245354098,12.156773567555728,66.41842104280389,69.22232901952913,13.946935198273513,0.17398180776908936,0.9999999999999999,-25.133573695059685,0.0,306.3087200853459,1936.9444757507106,1503.9504567790189,13.333333333333334,False,"SOC floor violated (min 0.174, unmet 0 Wh)"
6.0,0.3,1.6,0.34,0.6,0.0,0.18,0.65,1.3,1.3,0.21885521885521889,1.1572576144469577,5.000012507440013,0.539465913210427,2,one_per_bay,True,24+24+20+10,4,78,20,24,10,A40-10L-V2-kv1100-6.7PG,26x15E,10.795273577370285,1.5179999999999998,23.715415019762847,0.79274478594885,10.102512347173537,12.123014816608244,12.323973556464132,65.69274376867662,68.5880164688796,14.423292742841806,0.17256386169669183,0.9999999999999994,-26.503309600995706,0.0,104.34411130554066,1716.8371489608571,1486.5436683503294,13.666666666666666,False,"SOC floor violated (min 0.173, unmet 0 Wh)"
6.0,0.3,1.3,0.34,0.4,0.0,0.12,0.65,1.3,1.3,0.21885521885521889,1.0976534896287986,4.936519863655769,0.3638020864611503,2,one_per_bay,True,21+21+20+10,4,72,20,21,10,A40-10L-V2-kv1100-6.7PG,26x15E,10.26923417198567,1.377,26.143790849673202,0.7583472299965796,10.345476720314249,12.414572064377099,12.620363841063659,65.23847973010153,68.44364110255958,15.36938836248873,0.17050634353797012,0.9802775348006344,-28.490872142320878,0.0,0.20514603770174605,1584.772752886944,1478.3093208090986,13.833333333333332,False,"SOC floor violated (min 0.171, unmet 0 Wh)"
5.0,0.3,1.6,0.34,0.4,0.0,0.12,0.78,1.56,1.56,0.21885521885521886,1.8124655805815233,5.087183344912869,1.0481606234619005,2,one_per_bay,True,24+14+14+12,4,64,24,14,12,A40-10L-V2-kv1100-6.7PG,24x12E,10.09312680682512,1.1904,21.001344086021508,1.2805574275589142,11.030999247805417,13.2371990973665,13.456627258601106,59.853274688369936,61.570346056173115,9.263860129124247,0.23628074507917493,0.948951865246367,-29.992498172009473,0.0,0.12138920309524377,1408.6868914550616,1333.6493061989124,14.0,False,did not refill (end SOC 0.949)
