span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,hstab_span_each_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,morning_soc,next_morning_soc,morning_soc_change,morning_charge_hour,objective_soc,soc_end,soc_start,cycle_wh,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,fuselage_length_m,packing_ok,optimizer_score
6.0,0.4034104689922313,1.3551567466690804,0.25516628608640696,0.4,0.09532261947805358,0.0,0.06181097819418659,3.0,0.16136418759689253,1.2856363639109114,2.21,2.21,0.09164016008949344,0.4123807204027205,0.14454395339619594,0.004728851540253491,1.5813829874811929,1.378617012518807,35.99529933453306,34.585543830058796,1.4097555044742611,0.00942024620973522,-0.006710792791264262,3.8336253161963882,-5.254881936364355,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.206953320024793,2.0055074708786322,17.95056888231289,0.08065671968459985,8.568233344851711,11.138703348307224,11.323345520437362,81.36698817148225,82.74631917441496,12.322681634102086,0.31265603879366183,0.3126560388374255,0.31265603879366183,-4.376365936309412e-11,7.75,0.31265603879366183,0.31265603879366183,0.3126560388374255,-6.341354241712338e-08,163.23860021201597,0.0,37.088132889884974,2009.6301889956608,1846.9458588956254,13.75,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.5 W (17%) at 2391 rpm, 11.14 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 26.0 W (16%) at 2432 rpm, 11.32 m/s",1.1088086929295555,1.1034104689922313,True,-31.265603879366182
6.0,0.3946475647729475,1.4213844831554605,0.2865689494678808,0.405970510759346,0.1564854809364538,0.0,0.0,3.0,0.16021527344080558,1.4015399863745799,2.21,2.21,0.08869295302583437,0.39911828861625476,0.14432095522763103,0.004674848445965521,1.5996248926761103,1.3603751073238897,36.23652495097786,34.823127307543224,1.4133976434346376,0.008917276584274523,-0.0069583733028869416,3.8280554037234427,-5.365180138423798,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.226608288495862,1.993154745040671,18.061818877623278,0.08184792495115192,8.603014700052986,11.183919110068883,11.369310807184569,81.3888447163641,82.78445351402948,12.34433911362274,0.3124477341850307,0.3124477342367449,0.3124477341850307,-5.171418848703979e-11,7.75,0.3124477341850307,0.3124477341850307,0.3124477342367449,-7.493385911772066e-08,162.93676683410945,0.0,36.39627007353893,2009.6301889956608,1847.6372633688118,13.75,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.5 W (17%) at 2395 rpm, 11.18 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 25.9 W (17%) at 2435 rpm, 11.37 m/s",1.18071510918677,1.0946475647729474,True,-31.24477341850307
6.0,0.3986874005164305,1.241253249205384,0.2834881880302386,0.4,0.1813756770684034,0.0,0.0,3.0,0.1594749602065722,1.4487069080446244,2.21,2.21,0.0964113154019814,0.43385091930891634,0.14482525878632557,0.00475730683124529,1.628094941894846,1.331905058105154,35.73515020560153,34.09775995492646,1.6373902506750684,0.010134442430039704,-0.006183725166425456,3.842145107037008,-5.230498451093159,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,16x12E,10.20780171746677,2.021035796936112,17.81264837296596,0.08075768818058181,8.535608220408934,11.096290686531614,11.280229799629549,81.80735507785411,83.18639839484699,12.276212467097858,0.3122518684719558,0.3122518684719558,0.3122518684719561,2.7755575615628914e-16,7.75,0.3122518684719558,0.3122518684719561,0.3122518684719558,4.0217829067046296e-13,162.65295741586394,0.0,116.40420121369955,2099.9506469280504,1857.6266361440953,13.666666666666666,True,"FLAG 16x12E: shaft power table 30.9 W vs similarity 25.7 W (17%) at 2391 rpm, 11.10 m/s; FLAG 16x12E: shaft power table 31.3 W vs similarity 26.2 W (16%) at 2432 rpm, 11.28 m/s",1.0035655521732076,1.0986874005164304,True,-31.22518684719558
6.0,0.3967782887743387,1.1912773230410827,0.2595749976772036,0.458912774720049,0.0656086977884708,0.0,0.100112179603142,3.0,0.18208662545010462,1.2293284823091521,2.21,2.21,0.0969301151064249,0.43618551797891203,0.14445385776766537,0.004662361046621744,1.5174087087204313,1.4425912912795686,37.138370043807,35.61399102815859,1.5243790156484158,0.009993846742322711,-0.005816307972983307,3.8286278804785283,-5.225668788685168,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.119940858657001,2.000521319312138,17.99530934885427,0.0800185196605054,8.542259461001187,11.104937299301543,11.28901974410636,81.41695112158742,82.78518891246587,12.393997939759538,0.31217986457023417,0.31217986462683645,0.31217986457023417,-5.660227841985943e-11,7.75,0.31217986457023417,0.31217986457023417,0.31217986462683645,-8.201670143037632e-08,162.5486237622693,0.0,35.999715959720156,2009.6301889956608,1848.0312642746155,13.75,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.5 W (17%) at 2389 rpm, 11.10 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 26.0 W (16%) at 2430 rpm, 11.29 m/s",0.9543412287116702,1.0967782887743387,True,-31.217986457023418
6.0,0.3904266734809481,1.1505560862700348,0.2640832810027739,0.4343928633541128,0.1813756770684034,0.0,0.4841851900112699,3.0,0.16959856062321033,1.4487069080446244,2.21,2.21,0.09864107536338017,0.44388483913521076,0.1444442804081018,0.004664596924546478,1.6449398774771762,1.3150601225228238,35.26735038203941,33.63258346534554,1.6347669166938716,0.010265111325042013,-0.005620183993106877,3.828556793580568,-5.244358661659681,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,17x12E,10.150423097068998,1.999990914899938,18.000081766271986,0.08028042522604825,8.556249190382259,11.123123947496937,11.307507865652969,82.58969535850534,83.72298011892026,14.33741345219825,0.30482163928387485,0.30482163928387784,0.30482163928387485,-2.9976021664879227e-15,7.75,0.30482163928387485,0.30482163928387485,0.30482163928387784,-4.343525539241e-12,151.88655532233463,0.0,100.09989157589993,2099.9506469280504,1873.8632977950783,13.666666666666666,True,"FLAG 17x12E: shaft power table 31.6 W vs similarity 26.3 W (17%) at 2299 rpm, 11.12 m/s; FLAG 17x12E: shaft power table 32.2 W vs similarity 26.7 W (17%) at 2336 rpm, 11.31 m/s",0.9213023993044342,1.090426673480948,True,-30.482163928387486
6.0,0.3904266734809481,1.1505560862700348,0.2640832810027739,0.4343928633541128,0.1813756770684034,0.0,0.4841851900112699,3.0,0.16959856062321033,1.4487069080446244,2.21,2.21,0.09864107536338017,0.44388483913521076,0.1444442804081018,0.004664596924546478,1.6449398774771762,1.3150601225228238,35.35568781335239,33.71682614305067,1.6388616703017216,0.01030165747532119,-0.005620183993106877,3.828716555804459,-5.243547946484942,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,20x15E,10.201336209076588,1.999990914899938,18.000081766271986,0.08028045157996716,8.577680828057455,11.150985076474692,11.33583083827729,82.9375223331164,84.40271627753111,21.22226845972655,0.3014873220124656,0.30148732201247813,0.3014873220124656,-1.2545520178264269e-14,7.75,0.3014873220124656,0.3014873220124656,0.30148732201247813,-1.8178458738304926e-11,147.0551295960626,0.0,88.3049570324389,2099.9506469280504,1885.6408734203997,13.666666666666666,True,"FLAG 20x15E: (11.15 m/s, 1809 rpm) not on the map; used C_T(J) similarity; FLAG 20x15E: (11.34 m/s, 1841 rpm) not on the map; used C_T(J) similarity",0.9213023993044342,1.090426673480948,True,-30.14873220124656
6.0,0.3904266734809481,1.1505560862700348,0.2640832810027739,0.4343928633541128,0.1813756770684034,0.0,0.4841851900112699,3.0,0.16959856062321033,1.4466603472372954,2.205,2.205,0.09861803984108794,0.4437811792848957,0.14443612089301208,0.004663472349748773,1.6441020672891513,1.3158979327108487,35.32358861136479,33.690784903965636,1.632803707399153,0.010279363730500124,-0.005618829038460344,3.828455311311435,-5.244814513846971,3,one_per_bay,True,48+21+21,3,90,48,21,0,A40-12L-V4-kv410-direct,20x15E,10.176651226774899,1.9995389767390068,18.004150166010472,0.08027957388453667,8.56826463553648,11.138744026197424,11.323386872629925,82.6991378464838,84.15973226270225,21.25475763675828,0.30091823599755635,0.30091823650658367,0.30091823599755635,-5.090273202945639e-10,7.833333333333333,0.30091823599755635,0.30091823599755635,0.30091823650658367,-7.375805871068231e-07,146.23052396045912,0.0,26.70721452820649,2032.2103034787579,1879.750401081847,13.75,True,"FLAG 20x15E: (11.14 m/s, 1807 rpm) not on the map; used C_T(J) similarity; FLAG 20x15E: (11.32 m/s, 1838 rpm) not on the map; used C_T(J) similarity",0.9212690262317733,1.090426673480948,True,-30.091823599755635
6.0,0.3954266734809481,1.1505560862700348,0.2640832810027739,0.4343928633541128,0.1813756770684034,0.0,0.4841851900112699,3.0,0.17177052493998088,1.4487069080446244,2.21,2.21,0.10006463475014317,0.4502908563756443,0.1449082196272136,0.004739508138720551,1.548034820145821,1.411965179854179,37.65663312192427,35.99694690049055,1.6596862214337251,0.010633385190950018,-0.005710441482363843,3.83939851691568,-5.19492742517392,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,20x15E,10.23766647106681,2.025603802680741,17.77247848387557,0.08036156461058258,8.538441352632852,11.099973758422708,11.283973924443302,83.22231340776878,84.6974942174633,21.060461421404685,0.2987722784027044,0.298772278402736,0.2987722784027044,-3.1585845050585704e-14,7.75,0.2987722784027044,0.2987722784027044,0.298772278402736,-4.5767889478298684e-11,143.1210314055187,0.0,81.34558041480824,2099.9506469280504,1892.5790568199477,13.666666666666666,True,"FLAG 20x15E: (11.10 m/s, 1807 rpm) not on the map; used C_T(J) similarity; FLAG 20x15E: (11.28 m/s, 1838 rpm) not on the map; used C_T(J) similarity",0.9184866956775997,1.0954266734809481,True,-29.877227840270443
6.0,0.3904266734809481,1.1505560862700348,0.2640832810027739,0.4343928633541128,0.1813756770684034,0.0,0.4841851900112699,3.0,0.16959856062321033,1.4487069080446244,2.21,2.21,0.09864107536338017,0.44388483913521076,0.1444442804081018,0.004664596924546478,1.6449398774771762,1.3150601225228238,35.15995285821098,33.53016419809118,1.6297886601197968,0.01022063090511215,-0.005620183993106877,3.8283620204489233,-5.245347039996183,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,MJ-21x14EL,10.088696290786029,1.999990914899938,18.000081766271986,0.08028039309572389,8.530193363495584,11.08925137254426,11.273073797533687,83.69561831473001,86.58591423031599,23.369235923919163,0.29434577834290593,0.29434577834452935,0.29434577834290593,-1.6234236177581352e-12,7.75,0.29434577834290593,0.29434577834290593,0.29434577834452935,-2.352340822131538e-09,136.7070328188707,0.0,55.62013542217794,2099.9506469280504,1918.3203726882668,13.75,True,"FLAG MJ-21x14EL: thrust table 1.95 N vs similarity 0.00 N (100%) at 1709 rpm, 11.09 m/s",0.9213023993044342,1.090426673480948,True,-29.434577834290593
6.0,0.3954266734809481,1.1505560862700348,0.2640832810027739,0.4343928633541128,0.1813756770684034,0.0,0.4841851900112699,3.0,0.17177052493998088,1.4487069080446244,2.21,2.21,0.10006463475014317,0.4502908563756443,0.1449082196272136,0.004739508138720551,1.548034820145821,1.411965179854179,37.448901610098034,35.79837099019723,1.6505306199008074,0.010550883317690302,-0.005710441482363843,3.8390452466801923,-5.196714278504595,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,MJ-21x14EL,10.12502655277625,2.025603802680741,17.77247848387557,0.08036150517572613,8.491339336765442,11.038741137795075,11.221726273275367,83.843239750988,86.68430120587028,23.192987555989163,0.2929386646773394,0.29293866467997465,0.2929386646773394,-2.6352253712502716e-12,7.75,0.2929386646773394,0.2929386646773394,0.29293866467997465,-3.8184415629416435e-09,134.6681251174648,0.0,52.57024933580476,2099.9506469280504,1921.3586339362441,13.75,True,"FLAG MJ-21x14EL: thrust table 1.96 N vs similarity 0.00 N (100%) at 1704 rpm, 11.04 m/s",0.9184866956775997,1.0954266734809481,True,-29.29386646773394
