span_m,chord_m,tail_arm_m,vstab_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,cn_r_control,izz_kgm2,yaw_rate_deg_s,yaw_rate_max_deg_s,yaw_rate_level_deg_s,yaw_correct_s,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,morning_soc,next_morning_soc,morning_soc_change,morning_charge_hour,objective_soc,soc_end,soc_start,cycle_wh,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,aft_boom_length_m,fuselage_length_m,packing_ok,optimizer_score
6.0,0.4326177866631937,1.882035103098679,2.0929311480819446,0.27985734072427,0.4,0.1372667312475502,0.0,1.0,3.0,0.1730471146652775,0.8604214934939245,1.04,1.04,0.20057754194108807,0.5315902789451251,0.03,1.56326831722421,1.39673168277579,35.35825142550823,34.370105464468104,0.9881459610401236,0.07270542998307808,-0.05072248634875836,-0.07032577365643408,17.693886269909168,7.383298328179205,111.42932686199487,0.0,1.5198615400947773,3.848405095964781,0.13065101854708672,3,one_per_bay,True,32+32+24+8,4,96,24,32,8,A40-12L-V4-kv410-direct,16x12E,10.843039822713408,2.0403348892530824,17.644162333164207,0.31445784505652946,8.755484058486868,11.382129276032929,11.570806629875209,87.4378463947498,89.0253904900363,11.794139365095575,0.26158443548367655,0.26158443549738336,0.26158443548367655,-1.3706813462022183e-11,7.75,0.26158443548367655,0.26158443548367655,0.26158443549738336,-1.9861172706470143e-08,89.2358470158473,0.0,46.35320512573574,2167.6909903773435,1994.7806404506805,13.75,True,"FLAG 16x12E: shaft power table 33.2 W vs similarity 27.8 W (16%) at 2454 rpm, 11.38 m/s; FLAG 16x12E: shaft power table 33.8 W vs similarity 28.4 W (16%) at 2497 rpm, 11.57 m/s",2.2566562624416733,0.0,1.1326177866631937,True,-26.158443548367654
6.0,0.3947830717918573,2.0,2.212798514318618,0.2994349765601857,0.4,0.3657099493521842,0.0,1.0,3.0,0.15791322871674293,1.426960674393417,1.04,1.04,0.2061827804865478,0.612863464393512,0.030000000000000002,1.6020474849479784,1.3579525150520215,37.04455954610961,35.94425576158447,1.1003037845251382,0.0727054299830781,-0.05362748914981715,-0.07409544044480507,17.88183829612515,7.0522100493344295,106.74492903494505,0.0,1.5441862955900045,3.83280349406943,-0.03512704192804274,3,one_per_bay,True,34+34+24+8,4,100,24,34,8,A40-12L-V4-kv410-direct,16x12E,10.849141207300045,1.9960928525437285,18.03523315767764,0.38414439553671004,8.854472110163268,11.51081374321225,11.701624251946656,87.89870833601168,89.54940230585653,11.904654914972733,0.2609732093569636,0.2609732093569636,0.2609732093569636,0.0,7.75,0.2609732093569636,0.2609732093569636,0.2609732093569636,0.0,88.35018035824025,0.0,124.48036673962714,2258.0114483097323,2006.6261710860072,13.666666666666666,True,"FLAG 16x12E: shaft power table 33.5 W vs similarity 27.9 W (17%) at 2467 rpm, 11.51 m/s; FLAG 16x12E: shaft power table 34.1 W vs similarity 28.6 W (16%) at 2511 rpm, 11.70 m/s",2.3762288283239035,0.0,1.0947830717918572,True,-26.09732093569636
6.0,0.4016766837075223,2.0,2.2112778768749224,0.2916205193392812,0.4,0.3263904398893453,0.0,1.0,3.0,0.16067067348300892,1.3294482909255763,1.04,1.04,0.20390828417237383,0.5979440752390006,0.030000000000000002,1.5914911282951634,1.3685088717048366,36.653013292812446,35.58840900687117,1.0646042859412754,0.0727054299830781,-0.05359063628341974,-0.07404610777626704,17.87754220448798,7.04024305690452,106.56502103403886,0.0,1.5444104364283682,3.836862742621941,0.043510109971129585,3,one_per_bay,True,33+33+24+8,4,98,24,33,8,A40-12L-V4-kv410-direct,16x12E,10.846889290876067,2.0074470999673646,17.933224741307136,0.36919181799184025,8.828479485096862,11.47702333062592,11.667273708168931,87.71844413601475,89.34910246012535,11.876718597390585,0.2607577360285191,0.2607577360285676,0.2607577360285191,-4.851674617611934e-14,7.75,0.2607577360285191,0.2607577360285191,0.2607577360285676,-7.030076520919692e-11,88.03795950532415,0.0,84.0180577378638,2212.851219343537,2002.092795280177,13.666666666666666,True,"FLAG 16x12E: shaft power table 33.4 W vs similarity 27.9 W (16%) at 2463 rpm, 11.48 m/s; FLAG 16x12E: shaft power table 34.0 W vs similarity 28.5 W (16%) at 2507 rpm, 11.67 m/s",2.374233844410158,0.0,1.1016766837075223,True,-26.07577360285191
6.0,0.4158971017595586,2.0,2.2125218619259615,0.2973803382906609,0.419918882718767,0.1852498164232145,0.0,1.0,3.0,0.17464304629684718,0.9794195447295719,1.04,1.04,0.20557984969142307,0.6016280539836751,0.029999999999999995,1.5651080076445938,1.3948919923554062,35.939351853269734,34.888605285830906,1.0507465674388279,0.07270542998307807,-0.05362078443942918,-0.07410728994343815,17.842639500360665,7.0254974506003265,106.54734738882723,0.0,1.5450639272414597,3.8345945002899295,0.15042831510724336,3,one_per_bay,True,32+32+24+8,4,96,24,32,8,A40-12L-V4-kv410-direct,16x12E,10.83228598823843,2.0079093813346693,17.929095971487808,0.3644452720468838,8.821518871956881,11.467974533543947,11.658074912519245,87.5273978404413,89.14812334347441,11.885375350484376,0.26073062515350104,0.2607306251759683,0.26073062515350104,-2.2467250282431905e-11,7.75,0.26073062515350104,0.26073062515350104,0.2607306251759683,-3.255504565924383e-08,87.99867584742299,0.0,43.85980679460717,2167.6909903773435,1997.2699845766904,13.75,True,"FLAG 16x12E: shaft power table 33.3 W vs similarity 27.8 W (16%) at 2461 rpm, 11.47 m/s; FLAG 16x12E: shaft power table 33.9 W vs similarity 28.4 W (16%) at 2505 rpm, 11.66 m/s",2.372052077199914,0.0,1.1158971017595585,True,-26.073062515350102
6.0,0.4216401038950077,1.891451070787448,2.1013858740864744,0.2748023356769019,0.4,0.2423663550831525,0.0,0.9593473148445286,3.0,0.1686560415580031,1.121068560606218,1.04,1.04,0.1991794121114129,0.5252066565823333,0.03,1.6015816295706458,1.3584183704293542,35.07277851675504,34.096328980452185,0.9764495363028542,0.07270542998307808,-0.050927387845274494,-0.07059147438612148,17.775127370120146,7.349874610672251,110.54224015018491,0.0,1.5218458540737445,3.855731093814333,-0.06311654374405085,3,one_per_bay,True,32+32+24+8,4,96,24,32,8,A40-12L-V4-kv410-direct,16x12E,10.865789176656993,2.0545009149794917,17.522503756275697,0.32103752297652033,8.734395051297577,11.35471356668685,11.542936460439313,87.53995120324365,89.13318616761086,11.743311648228062,0.2606109371732253,0.2606109371958474,0.2606109371732253,-2.2622070883215883e-11,7.75,0.2606109371732253,0.2606109371732253,0.2606109371958474,-3.2779380709779815e-08,87.82524796400345,0.0,43.8384085163615,2167.6909903773435,1997.2894872626205,13.75,True,"FLAG 16x12E: shaft power table 33.2 W vs similarity 27.9 W (16%) at 2453 rpm, 11.35 m/s; FLAG 16x12E: shaft power table 33.8 W vs similarity 28.5 W (16%) at 2496 rpm, 11.54 m/s",2.2684036891296073,0.0,1.1216401038950077,True,-26.06109371732253
6.0,0.4158971017595586,1.9548221053898265,2.165932487453495,0.2862126569134239,0.4,0.253896649317566,0.0,0.9876052403462774,3.0,0.16635884070382345,1.1496636903075637,1.04,1.04,0.2023634151592467,0.5631318350202967,0.030000000000000002,1.5856470122285091,1.3743529877714908,35.7709837759087,34.7478427530537,1.0231410228549909,0.0727054299830781,-0.0524916842715414,-0.07262963673987424,17.839650352754184,7.152671484286973,107.98348562345656,0.0,1.5356718619369818,3.8467351882651175,-0.013807401991147411,3,one_per_bay,True,32+32+24+8,4,96,24,32,8,A40-12L-V4-kv410-direct,16x12E,10.855122122937194,2.0336529054684145,17.702135847861445,0.34646677221262184,8.774740956903166,11.407163243974116,11.596255576658471,87.54786321727495,89.14485509075914,11.803709660322587,0.2605355013136945,0.26053550133711784,0.2605355013136945,-2.342331884008786e-11,7.75,0.2605355013136945,0.2605355013136945,0.26053550133711784,-3.394038899928731e-08,87.71594140354334,0.0,43.60960245316249,2167.6909903773435,1997.5178839178243,13.75,True,"FLAG 16x12E: shaft power table 33.2 W vs similarity 27.8 W (16%) at 2457 rpm, 11.41 m/s; FLAG 16x12E: shaft power table 33.9 W vs similarity 28.5 W (16%) at 2500 rpm, 11.60 m/s",2.32978187716967,0.0,1.1158971017595585,True,-26.05355013136945
6.0,0.4038865877175042,1.7939636160860346,2.020726896424135,0.3471687238452404,0.4,0.2843849759006415,0.0,1.0,3.0,0.16155463508700169,1.225274740233591,1.04,1.04,0.22125846251612882,0.5890295225265998,0.03,1.5590324432201297,1.4009675567798703,37.17266163399114,35.938574829757364,1.2340868042337738,0.07270542998307808,-0.04897260596096254,-0.06805126443861557,17.333781706960217,7.693686661600799,116.74124803753521,0.0,1.4983912585924732,3.829321872864088,-0.04180898520618942,3,one_per_bay,True,32+32+24+8,4,96,24,32,8,A40-12L-V4-kv410-direct,16x12E,10.776287107107656,1.9932468887231556,18.060983917080673,0.35585712730156865,8.830989991344053,11.480286988747268,11.67059146674576,87.55382182721866,89.18246159806,11.958504324874442,0.26047868984928857,0.260478689874282,0.26047868984928857,-2.4993451752663987e-11,7.75,0.26047868984928857,0.26047868984928857,0.260478689874282,-3.6215511589610117e-08,87.63362159161912,0.0,43.14293166212599,2167.6909903773435,1997.9852815043703,13.75,True,"FLAG 16x12E: shaft power table 33.3 W vs similarity 27.8 W (16%) at 2462 rpm, 11.48 m/s; FLAG 16x12E: shaft power table 33.9 W vs similarity 28.4 W (16%) at 2506 rpm, 11.67 m/s",2.190113516767503,0.0,1.1038865877175041,True,-26.047868984928858
6.0,0.4257283533308618,2.0,2.207994905928179,0.2727350950092745,0.4,0.2065206735386592,0.0,1.0,3.0,0.17029134133234472,1.033442216008331,1.043203475100288,1.043203475100288,0.19861324732325217,0.5560040273443762,0.03,1.589351218862725,1.370648781137275,35.15057283276731,34.173780849367816,0.9767919833994967,0.07270542998307808,-0.05351107301198476,-0.07393871326897353,18.04416177620713,7.0279227188467965,105.78854251926754,0.0,1.544732849262137,3.8538562957370535,0.011442619641249374,3,one_per_bay,True,32+32+24+8,4,96,24,32,8,A40-12L-V4-kv410-direct,16x12E,10.88976442633229,2.0520384757199137,17.543530701767263,0.34245170116697504,8.749270744940713,11.374051968422927,11.562595427719728,87.58802064497948,89.17956786331104,11.73519042817714,0.2601526259163578,0.26015262594304167,0.2601526259163578,-2.668387732995825e-11,7.75,0.2601526259163578,0.2601526259163578,0.26015262594304167,-3.8664938251109504e-08,87.16115495280242,0.0,42.698497942860115,2167.6909903773435,1998.42585446739,13.75,True,"FLAG 16x12E: shaft power table 33.2 W vs similarity 27.9 W (16%) at 2455 rpm, 11.37 m/s; FLAG 16x12E: shaft power table 33.9 W vs similarity 28.5 W (16%) at 2498 rpm, 11.56 m/s",2.369467301597684,0.0,1.1257283533308617,True,-26.01526259163578
6.0,0.4246918684521325,2.0,2.2090868864855726,0.2782008042850449,0.4,0.2125842420900776,0.0,1.0,3.0,0.169876747380853,1.0472089203833925,1.04,1.04,0.20011721445792083,0.5594254128845517,0.03,1.5893350071200243,1.3706649928799757,35.21273559852702,34.22621437375728,0.9865212247697397,0.07270542998307808,-0.05353753731730424,-0.07397259622206402,18.03051410541749,7.004613057550915,105.45446903368419,0.0,1.5473969475073506,3.853327151893435,-0.016208409298976545,3,one_per_bay,True,32+32+24+8,4,96,24,32,8,A40-12L-V4-kv410-direct,16x12E,10.88877049059453,2.0505505153333745,17.556260980065243,0.3454447567434109,8.75204513961955,11.377658681505416,11.566261927953104,87.59592973828387,89.18814243341187,11.739569175856488,0.26007721763296165,0.2600772176603441,0.26007721763296165,-2.73824296570524e-11,7.75,0.26007721763296165,0.26007721763296165,0.2600772176603441,-3.9677140573068925e-08,87.05188835016142,0.0,42.50127399289122,2167.6909903773435,1998.62249384389,13.75,True,"FLAG 16x12E: shaft power table 33.2 W vs similarity 27.9 W (16%) at 2455 rpm, 11.38 m/s; FLAG 16x12E: shaft power table 33.9 W vs similarity 28.5 W (16%) at 2498 rpm, 11.57 m/s",2.370625015824414,0.0,1.1246918684521325,True,-26.007721763296164
5.978901335816525,0.3900102228596316,1.882035103098679,2.0978627879805742,0.3069374646876606,0.4,0.4060741267747708,0.0,1.0,2.9894506679082626,0.15600408914385266,1.5227800235842222,1.04,1.04,0.2084147347242602,0.5867269173836075,0.03,1.6201716035109293,1.3292790643973333,37.199280445596656,36.059702843034025,1.1395776025626334,0.07270542998307808,-0.05102141931392031,-0.07071914647548797,17.46645353578362,7.4779349384477305,113.04874835422862,0.0,1.5098895437865016,3.8366270462283865,0.0012679910506260272,3,one_per_bay,True,34+34+24+8,4,100,24,34,8,A40-12L-V4-kv410-direct,16x12E,10.80959922328705,1.988622715524853,17.975888993098387,0.3597857015544288,8.854906125542833,11.511377963205684,11.702197824806566,87.99423801608006,89.64835985231736,11.948191271223488,0.26006789231922023,0.26006789231922023,0.2600678923192205,2.7755575615628914e-16,7.75,0.26006789231922023,0.2600678923192205,0.26006789231922023,4.0217829067046296e-13,87.03837597055009,0.0,122.14609320872374,2258.0114483097323,2008.9543046937058,13.666666666666666,True,"FLAG 16x12E: shaft power table 33.5 W vs similarity 28.0 W (17%) at 2468 rpm, 11.51 m/s; FLAG 16x12E: shaft power table 34.1 W vs similarity 28.6 W (16%) at 2512 rpm, 11.70 m/s",2.2663161001055734,0.0,1.0900102228596316,True,-26.006789231922024
