prop,diameter_in,pitch_in,kv,r_ohm,i0_a,prop_rpm,motor_rpm,voltage_v,p_bus_w,p_shaft_w,idle_w,efficiency,climb_ms,climb_ok,duty
16x12E,16.0,12.0,240.0,0.11381770833333335,0.608780487804878,2336.258466725801,2336.258466725801,10.098313568082979,67.97220952849183,58.360042434860205,12.295312519968348,0.741396876088136,4.584873242128056,True,0.45487898955328737
16x12E,16.0,12.0,480.0,0.028454427083333338,1.217560975609756,2336.258466725801,2336.258466725801,5.0491567840414895,67.97220952849183,58.360042434860205,12.295312519968348,0.741396876088136,19.26677910028132,True,0.22743949477664369
16x12E,16.0,12.0,360.0,0.050585648148148143,0.9131707317073171,2336.258466725801,2336.258466725801,6.732209045388653,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,10.915943445710816,True,0.30325265970219156
16x12E,16.0,12.0,860.0,0.008864115738236884,2.1814634146341465,2336.258466725801,2336.258466725801,2.818134018999901,67.97220952849185,58.360042434860205,12.295312519968348,0.7413968760881359,42.5547086984701,True,0.12694297382882436
16x12E,16.0,12.0,840.0,0.00929124149659864,2.1307317073170733,2336.258466725801,2336.258466725801,2.885232448023708,67.97220952849185,58.360042434860205,12.295312519968348,0.7413968760881359,42.5547086984701,True,0.12996542558665353
16x12E,16.0,12.0,780.0,0.010775641025641026,1.9785365853658536,2336.258466725801,2336.258466725801,3.1071734055639935,67.97220952849185,58.360042434860205,12.295312519968348,0.7413968760881359,41.367757459754245,True,0.1399627660163961
16x12E,16.0,12.0,720.0,0.012646412037037036,1.8263414634146342,2336.258466725801,2336.258466725801,3.3661045226943265,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,37.641301659144666,True,0.15162632985109578
16x12E,16.0,12.0,700.0,0.013379387755102041,1.775609756097561,2336.258466725801,2336.258466725801,3.4622789376284504,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,36.282849678111276,True,0.15595851070398425
16x12E,16.0,12.0,660.0,0.015050275482093664,1.6741463414634148,2336.258466725801,2336.258466725801,3.6721140247574473,67.97220952849185,58.360042434860205,12.295312519968352,0.7413968760881359,33.460433626475094,True,0.16541054165574087
16x12E,16.0,12.0,640.0,0.016005615234375,1.6234146341463416,2336.258466725801,2336.258466725801,3.786867588031117,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,32.00930971806593,True,0.17057962108248276
16x12E,16.0,12.0,620.0,0.017054890738813736,1.5726829268292684,2336.258466725801,2336.258466725801,3.909024606999863,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,30.450218454187684,True,0.17608218950449833
16x12E,16.0,12.0,560.0,0.020905293367346936,1.420487804878049,2336.258466725801,2336.258466725801,4.327848672035563,67.97220952849185,58.360042434860205,12.295312519968352,0.7413968760881359,25.666535426418015,True,0.19494813837998032
16x12E,16.0,12.0,880.0,0.008465779958677684,2.2321951219512197,2336.258466725801,2336.258466725801,2.7540855185680853,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,42.5547086984701,True,0.12405790624180564
16x12E,16.0,12.0,540.0,0.02248251028806584,1.3697560975609757,2336.258466725801,2336.258466725801,4.488139363592435,67.97220952849185,58.360042434860205,12.295312519968348,0.7413968760881359,24.03446940890796,True,0.20216843980146104
16x12E,16.0,12.0,500.0,0.0262236,1.2682926829268293,2336.258466725801,2336.258466725801,4.8471905126798305,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,20.833095788697637,True,0.21834191498557795
16x12E,16.0,12.0,440.0,0.033863119834710735,1.1160975609756099,2336.258466725801,2336.258466725801,5.5081710371361705,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,16.292106679077516,True,0.24811581248361128
16x12E,16.0,12.0,420.0,0.03716496598639456,1.0653658536585366,2336.258466725801,2336.258466725801,5.770464896047416,67.97220952849185,58.360042434860205,12.295312519968348,0.7413968760881359,14.852040595487358,True,0.25993085117330705
16x12E,16.0,12.0,320.0,0.0640224609375,0.8117073170731708,2336.258466725801,2336.258466725801,7.573735176062234,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,8.567350865252426,True,0.3411592421649655
16x12E,16.0,12.0,280.0,0.08362117346938774,0.7102439024390245,2336.258466725801,2336.258466725801,8.655697344071125,67.97220952849185,58.360042434860205,12.295312519968352,0.7413968760881359,6.459199036552833,True,0.38989627675996064
16x12E,16.0,12.0,220.0,0.13545247933884294,0.5580487804878049,2336.258466725801,2336.258466725801,11.016342074272341,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,3.7209532277888826,True,0.49623162496722256
16x12E,16.0,12.0,580.0,0.019488406658739597,1.471219512195122,2336.258466725801,2336.258466725801,4.178612510930888,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,27.29013031124036,True,0.18822578878067064
16x12E,16.0,12.0,900.0,0.008093703703703702,2.282926829268293,2336.258466725801,2336.258466725801,2.692883618155461,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,42.5547086984701,True,0.12130106388087664
16x12E,16.0,12.0,180.0,0.20234259259259257,0.45658536585365855,2336.258466725801,2336.258466725801,13.464418090777306,67.97220952849185,58.360042434860205,12.29531251996835,0.7413968760881359,2.223350532772999,True,0.6065053194043831
16x12E,16.0,12.0,740.0,0.011972059897735574,1.8770731707317074,2336.258466725801,2336.258466725801,3.275128724783669,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,38.9130050177361,True,0.14752832093620133
16x12E,16.0,12.0,760.0,0.011350242382271468,1.9278048780487806,2336.258466725801,2336.258466725801,3.188941126763046,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,40.14038123874517,True,0.14364599670103811
16x12E,16.0,12.0,800.0,0.01024359375,2.029268292682927,2336.258466725801,2336.258466725801,3.029494070424894,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,42.5547086984701,True,0.13646369686598622
16x12E,16.0,12.0,820.0,0.00975,2.08,2336.258466725801,2336.258466725801,2.955603971146238,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,42.5547086984701,True,0.1331353140155963
16x12E,16.0,12.0,680.0,0.014177984429065746,1.7248780487804878,2336.258466725801,2336.258466725801,3.5641106710881103,67.97220952849186,58.360042434860205,12.295312519968348,0.7413968760881356,34.871641652293185,True,0.16054552572468966
16x12E,16.0,12.0,520.0,0.024245192307692308,1.3190243902439025,2336.258466725801,2336.258466725801,4.660760108345991,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,22.414185443586078,True,0.20994414902459418
16x12E,16.0,12.0,600.0,0.018210833333333332,1.5219512195121951,2336.258466725801,2336.258466725801,4.039325427233192,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,28.87017438271402,True,0.18195159582131495
16x12E,16.0,12.0,400.0,0.040974375,1.0146341463414634,2336.258466725801,2336.258466725801,6.058988140849788,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,13.497093664709379,True,0.27292739373197245
16x12E,16.0,12.0,380.0,0.04540096952908587,0.9639024390243903,2336.258466725801,2336.258466725801,6.377882253526092,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,12.190107993368876,True,0.28729199340207623
16x12E,16.0,12.0,340.0,0.05671193771626298,0.8624390243902439,2336.258466725801,2336.258466725801,7.128221342176221,67.97220952849186,58.360042434860205,12.295312519968348,0.7413968760881356,9.72943432300785,True,0.3210910514493793
16x12E,16.0,12.0,300.0,0.07284333333333333,0.7609756097560976,2336.258466725801,2336.258466725801,8.078650854466384,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,7.4835702117289875,True,0.3639031916426299
16x12E,16.0,12.0,260.0,0.09698076923076923,0.6595121951219513,2336.258466725801,2336.258466725801,9.321520216691981,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,5.4754924877582845,True,0.41988829804918837
16x12E,16.0,12.0,460.0,0.030982514177693755,1.166829268292683,2336.258466725801,2336.258466725801,5.268685339869381,67.97220952849186,58.360042434860205,12.295312519968352,0.7413968760881356,17.732172762667684,True,0.23732816846258475
16x12E,16.0,12.0,200.0,0.1638975,0.5073170731707317,2336.258466725801,2336.258466725801,12.117976281699576,67.97220952849186,58.360042434860205,12.29531251996835,0.7413968760881356,2.9520278871919117,True,0.5458547874639449
20x15E,20.0,15.0,300.0,0.07284333333333333,0.7609756097560976,1778.9130673296436,1778.9130673296436,6.308205664016827,69.00539949835046,52.597059831936356,9.600781303284148,0.7622165832572807,13.826004794641072,True,0.2841534082890463
20x15E,20.0,15.0,360.0,0.050585648148148143,0.9131707317073171,1778.9130673296436,1778.9130673296436,5.256838053347356,69.00539949835046,52.597059831936356,9.600781303284148,0.7622165832572807,19.311400384119324,True,0.23679450690753856
20x15E,20.0,15.0,620.0,0.017054890738813736,1.5726829268292684,1778.9130673296436,1778.9130673296436,3.052357579362981,69.00539949835046,52.597059831936356,9.600781303284148,0.7622165832572807,46.626217786077426,True,0.13749358465599013
