span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,hstab_span_each_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,soc_start,cycle_wh,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,fuselage_length_m,packing_ok
6.0,0.39089724369513024,1.2962083946383873,0.26033217714863044,0.4,0.10613484253002181,0.0,0.5044287930386592,3.0,0.1563588974780521,1.3061255265943914,2.21,2.21,0.09067420520367718,0.4080339234165473,0.14351348938200625,0.0045587812153003735,1.5314869283042754,1.4285130716957246,37.661016947360565,36.21686229416979,1.444154653190769,0.008997882429649742,-0.006188026968977256,3.8080563660921016,-5.343197173134103,3,one_per_bay,True,51+18+18,3,87,51,18,0,A40-12L-V4-kv410-direct,16x12E,10.081367201737065,1.9481049444789058,18.479497268372036,0.08017424568513831,8.639729204920734,11.231647966396954,11.41783084713879,80.78629689249651,82.15471376169424,12.574994793151317,0.3161898906482218,0.9999966954084466,0.9999966962106945,-1.16245725745312e-06,168.35915154927335,0.0,6.181464497655965,1964.4699600294668,1832.8973983292037,13.75,True,"FLAG 16x12E: shaft power table 30.4 W vs similarity 25.2 W (17%) at 2394 rpm, 11.23 m/s; FLAG 16x12E: shaft power table 30.9 W vs similarity 25.6 W (17%) at 2434 rpm, 11.42 m/s",1.0590837200977758,1.0908972436951303,True
6.0,0.3903006541468405,1.2063478485192913,0.3352608510791746,0.4,0.18752827131333444,0.0,0.0,3.0,0.15612026165873621,1.4220802931718828,2.115754798314586,2.115754798314586,0.09517699391146872,0.42829647260160925,0.14394578150558243,0.004617271035726932,1.5800529014108728,1.3799470985891271,37.133176641714364,35.42516497049412,1.7080116712202422,0.009707603995166065,-0.005832926991114051,3.8199940174692344,-5.309441824158322,3,one_per_bay,True,48+21+21,3,90,48,21,0,A40-12L-V4-kv410-direct,16x12E,10.09727745527354,1.9722860686213202,18.252930227897895,0.08040786618234246,8.593375306827616,11.171387898875901,11.35657187073114,81.1963012725891,82.58071038136852,12.491277858305121,0.3152538154965856,0.9999999999989506,0.9999999999989508,-3.2174263253637037e-13,167.00277865455251,0.0,63.644486257034735,2032.2103034787585,1842.9014239071212,13.75,True,"FLAG 16x12E: shaft power table 30.6 W vs similarity 25.4 W (17%) at 2392 rpm, 11.17 m/s; FLAG 16x12E: shaft power table 31.0 W vs similarity 25.9 W (17%) at 2433 rpm, 11.36 m/s",0.9740363805510994,1.0903006541468405,True
6.0,0.3927528184161371,1.3132773704274099,0.24585412257026962,0.4,0.13350304227015788,0.0,0.0,3.0,0.15710112736645485,1.3579882651019493,2.21,2.21,0.09114592324441192,0.41015665459985373,0.14389716876845018,0.004616123228593717,1.5630046938380016,1.3969953061619984,37.002212097842005,35.5990738781387,1.4031382197033084,0.009162171693895636,-0.006348373538227804,3.8182774258226257,-5.331249717071383,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.137275747277974,1.9695740684446745,18.278063555349476,0.08065314863222484,8.616304911373767,11.201196384785897,11.386874480904455,81.11215748357552,82.4980468783576,12.472745915176644,0.31508468760333586,0.9999999999598984,0.9999999999598982,3.2174263253637037e-13,166.75771233723364,0.0,43.151888778807155,2009.6301889956615,1840.8971459023255,13.75,True,"FLAG 16x12E: shaft power table 30.5 W vs similarity 25.3 W (17%) at 2394 rpm, 11.20 m/s; FLAG 16x12E: shaft power table 31.0 W vs similarity 25.8 W (17%) at 2435 rpm, 11.39 m/s",1.0754981566541144,1.092752818416137,True
6.0,0.39138285004086704,1.2184265781346986,0.24982970040564864,0.4,0.21880275176830224,0.0,0.39731610737028683,3.0,0.15655314001634682,1.5196312146009328,2.21,2.21,0.09612299125704275,0.4325534606566924,0.1444564077398179,0.004689200842333496,1.627869984377229,1.332130015622771,36.19252033966765,34.64155888175096,1.5509614579166922,0.009970577773972984,-0.005983107640805758,3.833794863826318,-5.2883534593935595,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,16x12E,10.169474529099688,2.0006625276405883,17.99403922582353,0.0809632537451992,8.56266445326491,11.131463789244384,11.315985953877341,81.6808442420965,83.06771239132495,12.359235437649655,0.31337054069290354,0.9999999999999989,0.9999999999999989,0.0,164.27391346401723,0.0,119.25601905014523,2099.950646928051,1854.7868050314503,13.583333333333332,True,"FLAG 16x12E: shaft power table 30.8 W vs similarity 25.6 W (17%) at 2393 rpm, 11.13 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 26.1 W (16%) at 2434 rpm, 11.32 m/s",0.9867806975296897,1.0913828500408669,True
6.0,0.3927528184161371,1.3455439080386076,0.3177270804595314,0.41048397351773797,0.21893972984167526,0.0,0.8164104379107168,3.0,0.16121873751374655,1.5198907880499746,2.21,2.21,0.0920558122720653,0.41425115522429384,0.1446944254878013,0.0047184369047880625,1.6485290044386454,1.3114709955613546,35.6561894364543,34.071920337320016,1.5842690991342798,0.00945584286371922,-0.0066485148679258175,3.8375537291143518,-5.346662447352035,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,16x12E,10.251750242685693,2.0138211844728118,17.876463053210088,0.08220329339835068,8.569098679854424,11.13982828381075,11.324489103581318,81.76541418659198,83.15853077837679,12.26792289654098,0.31264917517156304,0.999999999999999,0.999999999999999,0.0,163.22865482359484,0.0,117.26997949494196,2099.950646928051,1856.7654785933291,13.666666666666666,True,"FLAG 16x12E: shaft power table 30.8 W vs similarity 25.7 W (17%) at 2394 rpm, 11.14 m/s; FLAG 16x12E: shaft power table 31.3 W vs similarity 26.1 W (16%) at 2435 rpm, 11.32 m/s",1.109879047354357,1.092752818416137,True
6.0,0.4171804399910823,1.3486631049445041,0.26549957286760856,0.40492459750581333,0.0,0.0,0.0,3.0,0.1689266217506871,1.105,2.21,2.21,0.09336870437701467,0.420159169696566,0.14503622222426474,0.004820189077862262,1.5848080669789257,1.3751919330210742,35.06827257586071,33.61670891767484,1.4515636581858693,0.009816421680089941,-0.0068076335360983875,3.8431989081601525,-5.196127387306213,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.237173490211507,2.032641654380945,17.710942763772128,0.08065566246698332,8.52326927219583,11.080250053854579,11.26392326730807,81.43759294927344,82.7991511513715,12.227494053117884,0.3119831361650981,0.9999999997974724,0.9999999997974724,0.0,162.26356430322713,0.0,35.57136149432911,2009.6301889956615,1848.4582023540797,13.75,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.6 W (17%) at 2387 rpm, 11.08 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 26.0 W (16%) at 2428 rpm, 11.26 m/s",1.0912420221160208,1.1171804399910823,True
5.990650891787123,0.399730878702877,1.248767649354763,0.2973654123567677,0.4,0.14671505967088797,0.0,0.1747979821216355,2.9953254458935614,0.1598923514811508,1.3823392105916716,2.21,2.21,0.09559526722542516,0.4301787025144132,0.14469881733173703,0.004743858396897082,1.6031932917523806,1.3521321541411808,36.06993972137085,34.408355674589025,1.6615840467818246,0.009994249944170351,-0.006213255501824296,3.8383557734474274,-5.220495960250841,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.159290509675238,2.007791901872518,17.874311612572935,0.08040804394170699,8.543167643003999,11.1061179359052,11.290219951687012,81.45495178275222,82.82526497508363,12.347340198856877,0.31181769633924594,0.9999999997782174,0.999999999778218,-8.043565813409259e-13,162.02384199556735,0.0,35.064285753803105,2009.6301889956615,1848.964553007441,13.75,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.6 W (17%) at 2389 rpm, 11.11 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 26.0 W (16%) at 2430 rpm, 11.29 m/s",1.0091130712104943,1.099730878702877,True
6.0,0.4125475907760563,1.4439463694914023,0.3464293697043166,0.4,0.03184045275900654,0.0,0.45303568572434577,3.0,0.16501903631042253,1.1653376579783175,2.21,2.21,0.08966443698921259,0.4034899664514567,0.14482740843234765,0.004786420110121835,1.5760085042872998,1.3839914957127002,35.745992328362185,34.193048070535724,1.5529442578264605,0.009251571248401902,-0.0072375319783821055,3.8396777514823226,-5.243828854761752,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.270976926845417,2.0211542272031764,17.811604634355845,0.08100166698644819,8.561556710657214,11.130023723854379,11.314522017055152,81.51763754219644,82.89938542170073,12.23663989946048,0.3112202629125105,0.9999999997159454,0.9999999997159456,-1.6087131626818518e-13,161.15816096022766,0.0,33.438820611991574,2009.6301889956615,1850.5862167776447,13.75,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.6 W (17%) at 2392 rpm, 11.13 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 26.0 W (16%) at 2432 rpm, 11.31 m/s",1.1878797623282313,1.1125475907760562,True
6.0,0.4174308075037529,1.4241517637020282,0.27890971948258864,0.4,0.0,0.0,0.4686083370427564,3.0,0.16697232300150117,1.105,2.21,2.21,0.09077789999416813,0.4085005499737566,0.1449875317977946,0.004817775092364836,1.5761410420483979,1.383858957951602,35.31960557344286,33.903466236834134,1.4161393366087205,0.009456601225961474,-0.0071850767577159415,3.84299690303728,-5.229214482250591,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.271471646921855,2.0299660168907505,17.73428702769139,0.08106275863588037,8.54316000056014,11.106108000728183,11.290209851818238,81.51886475994137,82.89232587872168,12.21208297941143,0.3112085667551042,0.9999999997178288,0.9999999997178288,0.0,161.141213228146,0.0,33.49396222120579,2009.6301889956615,1850.5307307061032,13.75,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.6 W (17%) at 2390 rpm, 11.11 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 26.1 W (16%) at 2430 rpm, 11.29 m/s",1.164522390653684,1.117430807503753,True
6.0,0.3981949673586374,1.3947786288070576,0.2591405736791131,0.4497604441626493,0.10613484253002181,0.0,0.4803292536959026,3.0,0.17909234538255242,1.249808599909673,2.0839923438919596,2.0839923438919596,0.08990674216432731,0.4045803397394729,0.14454740338139982,0.0046842812022400895,1.513709782039319,1.446290217960681,37.2122300192993,35.96559481297394,1.2466352063253592,0.009086593775579282,-0.006841902179599781,3.831323563994222,-5.333413474535777,3,one_per_bay,True,48+21+21,3,90,48,21,0,A40-12L-V4-kv410-direct,16x12E,10.237003242014966,2.0056982794320386,17.948861186735556,0.08175481637579635,8.580255246927049,11.154331821005163,11.339233060555966,81.62564959174374,83.01873961300228,12.301023978712532,0.3111619141232787,0.9999999999928263,0.9999999999928263,0.0,161.07361356463082,0.0,53.224745791606104,2032.2103034787585,1853.2947629197588,13.75,True,"FLAG 16x12E: shaft power table 30.8 W vs similarity 25.6 W (17%) at 2394 rpm, 11.15 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 26.1 W (16%) at 2435 rpm, 11.34 m/s",1.1515113759346483,1.0981949673586373,True
