span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,hstab_span_each_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,fuselage_length_m,packing_ok
6.0,0.31,0.9,0.34,0.6,0.5,0.0,0.0,3.0,0.186,1.8250000000000002,1.3,1.3,0.09262715749906635,0.41682220874579856,0.13946384198746703,0.003753626978806294,1.5787903225818165,1.3812096774181835,37.37897920306945,36.365008914035705,1.0139702890337445,0.007263023558539371,-0.0035377100822802914,3.707566069342763,-5.9543914786462695,2,one_per_bay,True,25+25+20,3,70,20,25,0,A40-12L-V4-kv410-direct,16x12E,8.749445518162132,1.7143000000000002,20.99982500145832,0.0809945549882716,8.580121565508286,11.154158035160771,11.339056393927807,73.113168066238,74.31029314086965,14.45367537683442,0.05623518835485569,0.8014153672697499,-172.51275521742156,0.0,0.24310454291383246,1580.6080138168131,1646.487763490264,14.166666666666668,False,"SOC floor violated (min 0.056, unmet 0 Wh); did not refill (end SOC 0.801); FLAG 16x12E: shaft power table 27.1 W vs similarity 22.1 W (18%) at 2329 rpm, 11.15 m/s; FLAG 16x12E: shaft power table 27.5 W vs similarity 22.5 W (18%) at 2367 rpm, 11.34 m/s",0.7321400486547396,1.01,True
6.0,0.3,1.1737015034383473,0.33009964774896544,0.7086959044163369,0.722125435736942,1.9687632595176592,0.41095528215712984,1.6995812343848384,0.21260877132490105,2.3865435222335547,1.5846518058004118,1.5846518058004118,0.08229349460474773,0.3703207257213648,0.14000606466805654,0.0037928561089431863,1.8273298148933352,1.1326701851066647,35.175155944689315,34.21161695699801,0.9635389876913066,0.006542097570385703,-0.00466178935540146,2.7693355476489483,-6.320400333425782,2,one_per_bay,True,24+23+23,3,70,24,23,0,A40-12L-V4-kv410-direct,16x12E,8.947911041851013,1.7463892846692919,20.613960653576274,0.08329293781624263,9.167929733991082,11.918308654188408,12.115874055583282,77.65201066000716,79.17020565530355,14.963206609275955,0.0077610623454776526,0.7046226592076069,-266.0145112054517,18.30324928148524,0.13252580691053595,1580.608013816813,1758.1976245451042,14.416666666666666,False,"SOC floor violated (min 0.008, unmet 18 Wh); did not refill (end SOC 0.705); FLAG 16x12E: shaft power table 29.5 W vs similarity 23.4 W (21%) at 2424 rpm, 11.92 m/s; FLAG 16x12E: shaft power table 30.0 W vs similarity 23.9 W (20%) at 2467 rpm, 12.12 m/s",1.0085663950732822,1.0,True
5.84785646308521,0.3,1.3518464930433738,0.34,0.8241420629820015,0.5598104038368599,0.18045615614375587,0.0,0.65,0.24724261889460045,1.9229686815959024,1.3,1.3,0.07579182737179883,0.34106322317309473,0.14077100735975093,0.004347466152206329,1.6292697858101635,1.2546584457324417,36.87451087826969,36.18851365318956,0.6859972250801315,0.0075875623058229355,-0.006314613188052871,3.053409763725328,-6.404255438877322,2,one_per_bay,True,24+24+20,3,68,20,24,0,A40-12L-V4-kv410-direct,16x12E,8.949999940696642,1.7015489344779358,20.097820591530514,0.08715154968951276,9.123040969274111,11.859953260056345,12.056551325632038,77.55437351470248,79.04188443993428,14.895205924204545,0.006321422821949584,0.6623330134810513,-306.8663089773044,19.818941405633453,0.23364140847709672,1535.447784850619,1755.5602773863457,14.416666666666666,False,"SOC floor violated (min 0.006, unmet 20 Wh); did not refill (end SOC 0.662); FLAG 16x12E: shaft power table 29.5 W vs similarity 23.4 W (21%) at 2419 rpm, 11.86 m/s; FLAG 16x12E: shaft power table 30.0 W vs similarity 23.9 W (20%) at 2461 rpm, 12.06 m/s",1.1858437818958498,1.0,True
5.988725192870744,0.321842564090857,1.1801947244465059,0.33510080642444895,0.987248730646733,0.10946982574808856,0.0,0.19675378710729652,2.994362596435372,0.31773866286678837,0.7908680422693681,1.04,1.04,0.09099442425255058,0.40947490913647766,0.14311373577833306,0.004252882311593756,1.3772940462889776,1.5770685501463944,36.50760559019657,35.9407343808562,0.5668712093403692,0.00785856671179008,-0.005266020158441774,3.8569066576307653,-5.919973578375551,2,one_per_bay,True,25+25+16,3,66,16,25,0,A40-12L-V4-kv410-direct,16x12E,9.225272938287596,1.9183837477109615,18.695336362455674,0.08716488172043092,8.328531963734527,10.827091552854885,11.006568251323095,76.8026869105295,78.07265976512258,13.31635005817781,0.007489005751582867,0.6312485639327704,-336.8938872409438,14.2376612115642,0.11380821632498457,1490.287555884423,1735.223396900141,14.583333333333332,False,"SOC floor violated (min 0.007, unmet 14 Wh); did not refill (end SOC 0.631); FLAG 16x12E: shaft power table 28.6 W vs similarity 23.8 W (17%) at 2333 rpm, 10.83 m/s; FLAG 16x12E: shaft power table 29.2 W vs similarity 24.3 W (17%) at 2372 rpm, 11.01 m/s",1.0066825664181804,1.021842564090857,True
6.0,0.36666713390024896,0.8796255785811036,0.36267914545847557,0.8166509143433398,0.0,0.0,0.9955002834343927,3.0,0.2994390501592901,0.5507837747912069,1.1015675495824138,1.1015675495824138,0.11272040268189702,0.5072418120685366,0.1450854808824061,0.004575971085339044,1.3799999999999986,1.5800000000000014,35.762033783456516,34.832803018633776,0.9292307648227415,0.011124194250761943,-0.004215118022010013,3.8682728793809993,-5.267557964135148,2,one_per_bay,True,24+24+16,3,64,16,24,0,A40-12L-V4-kv410-direct,MJ-21x14EL,9.218145119900218,2.035346689913442,17.687404400638492,0.0812823269952874,8.082564162500892,10.50733341125116,10.681509597085554,76.08898613747502,78.06605218166585,24.45630441742037,0.008934095364919879,0.5911227569630401,-375.6554167737033,9.931418221820627,0.17649266971652483,1445.1273269182288,1724.7530392155293,14.583333333333332,False,"SOC floor violated (min 0.009, unmet 10 Wh); did not refill (end SOC 0.591); FLAG MJ-21x14EL: thrust table 1.91 N vs similarity 0.00 N (100%) at 1608 rpm, 10.51 m/s; FLAG MJ-21x14EL: thrust table 1.91 N vs similarity 0.00 N (100%) at 1649 rpm, 10.68 m/s",0.6826562817900135,1.066667133900249,True
6.0,0.3272500051537777,1.4493725856517865,0.2897737241999312,0.9228036260157284,0.22130635639749058,2.990920336036065,0.0,0.847198245099874,0.30198749136957187,1.3236269575229445,1.694396490199748,1.694396490199748,0.08215639727781725,0.3697037877501776,0.14303467030767578,0.004243460371042632,1.6199999999999988,1.3400000000000012,36.83989366418958,36.04006251200227,0.7998311521873074,0.007822928331500898,-0.006440636831218579,2.302827532935055,-5.980302178863299,2,one_per_bay,True,26+21+21,3,68,26,21,0,A40-12L-V4-kv410-direct,16x12E,9.3806962539606,1.9211506338296187,18.73877007147412,0.08017475954214581,9.332541878359308,12.1323044418671,12.333417172410451,83.86097023626083,87.80869210340897,14.459602334921131,0.007162827193206491,0.57957199416416,-386.8134536374214,113.49230284361202,0.3866180154853076,1535.447784850619,1929.1797129413837,14.75,False,"SOC floor violated (min 0.007, unmet 113 Wh); did not refill (end SOC 0.580); FLAG 16x12E: shaft power table 32.0 W vs similarity 25.8 W (19%) at 2487 rpm, 12.13 m/s; FLAG 16x12E: (12.33 m/s, 2577 rpm) not on the map; used C_T(J) similarity",1.2638417375173232,1.0272500051537776,True
5.612656421042786,0.32012903311387003,1.4493725856517865,0.2897737241999312,0.9228036260157284,0.3612640590141576,2.990920336036065,0.05925164234550362,0.9349149513710804,0.29541623255038846,1.5357026502100106,1.6340935164714094,1.6340935164714094,0.07852341882751655,0.3533553847238245,0.14476015398802392,0.004680852390690322,1.736050054733692,1.030278155787701,35.00808192040758,34.103483624297795,0.9045982961097817,0.008593152587751935,-0.007594801005336515,2.3721927241199965,-5.865485205441291,2,one_per_bay,True,24+22+22,3,68,24,22,0,A40-12L-V4-kv410-direct,16x12E,9.11029392582677,1.765373557205944,17.84433213700724,0.08158123218718781,9.5678952431033,12.43826381603429,12.644448322139235,87.08663349106975,88.70230450164082,15.217706378526199,0.0031171588560013307,0.5673461711863597,-398.62359863397654,157.2392238907636,0.25454185386952705,1535.447784850619,1984.7548821316982,14.916666666666668,False,"SOC floor violated (min 0.003, unmet 157 Wh); did not refill (end SOC 0.567); FLAG 16x12E: (12.44 m/s, 2566 rpm) not on the map; used C_T(J) similarity; FLAG 16x12E: (12.64 m/s, 2610 rpm) not on the map; used C_T(J) similarity",1.2682946827149189,1.02012903311387,True
5.201902429265581,0.36666713390024896,1.134110734520928,0.36267914545847557,0.667045783529588,0.5045482589579533,2.767486760372462,0.9955002834343927,2.5922584259098844,0.24458376562703993,1.6438115271704268,1.3381974175553257,1.3381974175553257,0.09623606563995461,0.4330622953797958,0.1516891074799878,0.005638464116433554,1.6477827806814878,0.9131684339513026,35.31650187324007,33.791828504928176,1.5246733683118978,0.01199888641291501,-0.007723852087215828,3.3515838567452136,-5.054156253306365,2,one_per_bay,True,22+22+20,3,64,20,22,0,A40-12L-V4-kv410-direct,16x12E,8.951950435086975,1.7905158176141813,15.112845481396338,0.08567483561988841,8.844852997187152,11.498308896343298,11.688912116848918,80.87473769576249,82.24679565383663,14.462809787883769,0.006900794762025511,0.5497352475530232,-415.6357508637796,78.64618378400066,0.08727633430314086,1445.1273269182288,1833.4565644841339,14.916666666666668,False,"SOC floor violated (min 0.007, unmet 79 Wh); did not refill (end SOC 0.550); FLAG 16x12E: shaft power table 30.5 W vs similarity 25.0 W (18%) at 2415 rpm, 11.50 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 25.5 W (18%) at 2456 rpm, 11.69 m/s",0.9266330484489584,1.066667133900249,True
5.05430446590331,0.34839128537058434,0.8177865845324362,0.2703002389769796,0.6825280677227302,0.5456022108610983,0.0,0.8471502463658693,2.527152232951655,0.2377868308154232,1.6561659584724722,1.2207194648418846,1.2207194648418846,0.10654716328789592,0.4794622347955316,0.15096833096341464,0.005517444321699545,1.5435395919690986,0.9436126409825563,37.72786155641466,36.10788880474962,1.6199727516650377,0.013463403014193052,-0.005609141676858645,3.969389037291855,-4.842906132425936,2,one_per_bay,True,22+22+18,3,62,18,22,0,A40-12L-V4-kv410-direct,16x12E,8.568186303683607,1.6645406677165369,15.347173024672834,0.08451526774605778,8.61675675915784,11.201783786905192,11.387471620171766,78.7139921066043,79.99587908351862,14.77538910844721,0.009370275830143954,0.5320180269921438,-432.750585925589,54.05387962073725,0.3633358688544715,1399.967097952034,1780.7796172654726,14.916666666666668,False,"SOC floor violated (min 0.009, unmet 54 Wh); did not refill (end SOC 0.532); FLAG 16x12E: shaft power table 29.5 W vs similarity 24.4 W (18%) at 2376 rpm, 11.20 m/s; FLAG 16x12E: shaft power table 30.0 W vs similarity 24.8 W (17%) at 2415 rpm, 11.39 m/s",0.6324295922799377,1.0483912853705843,True
5.05430446590331,0.3008215332514567,1.7960572757620947,0.33514909004965476,0.5605595827382712,0.8803321539808286,2.548954049342116,0.8471502463658693,2.234170971477786,0.16862839315812356,2.297773803147443,1.2207194648418846,1.2207194648418846,0.06322903184294236,0.2845306432932407,0.1462712479046217,0.007631099553655792,1.7620898323249126,0.7250624006267423,39.4767685498515,38.61072973348234,0.8660388163691591,0.015003494082691155,-0.015201504546367716,3.070072539694949,-5.930014083041108,2,one_per_bay,True,22+22+18,3,62,18,22,0,A40-12L-V4-kv410-direct,16x12E,8.786958838374915,1.4901213640472217,17.14356578625672,0.08945098226125113,9.717106980438134,12.632239074569574,12.841639036904521,85.2789960012731,86.82209731673571,16.009936335954492,0.009458156611398257,0.4700189441535496,-492.64169994767104,153.41913521865027,0.21996822823507736,1399.967097952034,1940.1980405408437,15.25,False,"SOC floor violated (min 0.009, unmet 153 Wh); did not refill (end SOC 0.470); FLAG 16x12E: (12.63 m/s, 2572 rpm) not on the map; used C_T(J) similarity; FLAG 16x12E: (12.84 m/s, 2616 rpm) not on the map; used C_T(J) similarity",1.6335518545716337,1.0008215332514567,True
